,Date,ADR
0,20180618,78.77
1,20180619,72.2
2,20180620,73.05
3,20180621,69.61
4,20180622,70.39
5,20180625,74.33
6,20180626,76.42
7,20180627,72.15
8,20180628,70.17
9,20180629,73.4
10,20180702,66.11
11,20180703,65.86
12,20180704,67.05
13,20180705,64.09
14,20180706,65.22
15,20180709,66.74
16,20180710,72.43
17,20180711,72.93
18,20180712,79.53
19,20180713,83.69
20,20180716,89.63
21,20180717,94.94
22,20180718,84.64
23,20180719,84.04
24,20180720,84.1
25,20180723,74.25
26,20180724,78.95
27,20180725,78.03
28,20180726,89.08
29,20180727,93.89
30,20180730,102.35
31,20180731,102.85
32,20180801,105.59
33,20180802,106.2
34,20180803,105.09
35,20180806,103.29
36,20180807,97.52
37,20180808,100.66
38,20180809,97.82
39,20180810,90.17
40,20180813,82.98
41,20180814,86.69
42,20180816,89.73
43,20180817,98.46
44,20180820,99.84
45,20180821,115.49
46,20180822,111.45
47,20180823,116.41
48,20180824,111.14
49,20180827,103.59
50,20180828,103.99
51,20180829,104.09
52,20180830,99.59
53,20180831,105.28
54,20180903,101.21
55,20180904,106.43
56,20180905,103.76
57,20180906,99.34
58,20180907,97.32
59,20180910,100.36
60,20180911,112.68
61,20180912,106.72
62,20180913,108.93
63,20180914,106.23
64,20180917,101.52
65,20180918,94.64
66,20180919,90.24
67,20180920,86.65
68,20180921,87.57
69,20180927,89.5
70,20180928,86.28
71,20181001,82.63
72,20181002,76.77
73,20181004,71.96
74,20181005,68.06
75,20181008,64.02
76,20181010,60.26
77,20181011,56.89
78,20181012,62.61
79,20181015,61.26
80,20181016,64.12
81,20181017,68.9
82,20181018,66.81
83,20181019,66.33
84,20181022,69.32
85,20181023,64.34
86,20181024,62.87
87,20181025,60.82
88,20181026,54.16
89,20181029,48.69
90,20181030,53.12
91,20181031,58.5
92,20181101,66.73
93,20181102,77.03
94,20181105,80.95
95,20181106,84.09
96,20181107,87.29
97,20181108,102.78
98,20181109,93.39
99,20181112,91.62
100,20181113,83.4
101,20181114,79.69
102,20181115,82.63
103,20181116,85.47
104,20181119,89.59
105,20181120,93.47
106,20181121,99.92
107,20181122,103.78
108,20181123,106.9
109,20181126,121.85
110,20181127,120.09
111,20181128,112.63
112,20181129,104.56
113,20181130,93.29
114,20181203,99.72
115,20181204,100.05
116,20181205,100.43
117,20181206,86.2
118,20181207,90.69
119,20181210,88.62
120,20181211,87.09
121,20181212,92.69
122,20181213,96.08
123,20181214,87.36
124,20181217,80.79
125,20181218,81.79
126,20181219,84.14
127,20181220,83.38
128,20181221,87.83
129,20181224,81.73
130,20181226,74.14
131,20181227,77.21
132,20181228,82.93
