,Date,ADR
0,2018-06-19,74.02
1,2018-06-20,73.81
2,2018-06-21,69.72
3,2018-06-22,70.92
4,2018-06-25,75.88
5,2018-06-26,77.95
6,2018-06-27,71.09
7,2018-06-28,70.63
8,2018-06-29,75.35
9,2018-07-02,67.27
10,2018-07-03,67.15
11,2018-07-04,67.3
12,2018-07-05,64.58
13,2018-07-06,66.83
14,2018-07-09,67.94
15,2018-07-10,68.99
16,2018-07-11,68.94
17,2018-07-12,74.25
18,2018-07-13,77.67
19,2018-07-16,80.8
20,2018-07-17,85.2
21,2018-07-18,77.04
22,2018-07-19,77.08
23,2018-07-20,78.08
24,2018-07-23,71.28
25,2018-07-24,77.73
26,2018-07-25,79.48
27,2018-07-26,87.86
28,2018-07-27,89.3
29,2018-07-30,98.91
30,2018-07-31,99.85
31,2018-08-01,103.98
32,2018-08-02,104.26
33,2018-08-03,103.83
34,2018-08-06,106.96
35,2018-08-07,101.29
36,2018-08-08,102.27
37,2018-08-09,99.67
38,2018-08-10,95.53
39,2018-08-13,89.76
40,2018-08-14,94.73
41,2018-08-16,98.27
42,2018-08-17,107.64
43,2018-08-20,109.75
44,2018-08-21,120.1
45,2018-08-22,112.27
46,2018-08-23,114.66
47,2018-08-24,110.73
48,2018-08-27,104.9
49,2018-08-28,104.56
50,2018-08-29,104.27
51,2018-08-30,99.87
52,2018-08-31,105.51
53,2018-09-03,98.9
54,2018-09-04,99.47
55,2018-09-05,98.49
56,2018-09-06,97.38
57,2018-09-07,99.5
58,2018-09-10,101.23
59,2018-09-11,111.86
60,2018-09-12,106.65
61,2018-09-13,109.87
62,2018-09-14,109.0
63,2018-09-17,103.25
64,2018-09-18,98.49
65,2018-09-19,95.44
66,2018-09-20,93.36
67,2018-09-21,95.26
68,2018-09-27,99.96
69,2018-09-28,97.3
70,2018-10-01,95.35
71,2018-10-02,90.06
72,2018-10-04,85.12
73,2018-10-05,83.04
74,2018-10-08,78.41
75,2018-10-10,73.57
76,2018-10-11,67.94
77,2018-10-12,70.77
78,2018-10-15,67.95
79,2018-10-16,69.5
80,2018-10-17,74.33
81,2018-10-18,70.83
82,2018-10-19,68.7
83,2018-10-22,71.34
84,2018-10-23,66.44
85,2018-10-24,67.61
86,2018-10-25,64.58
87,2018-10-26,57.89
88,2018-10-29,51.22
89,2018-10-30,53.93
90,2018-10-31,58.12
91,2018-11-01,64.04
92,2018-11-02,73.2
93,2018-11-05,73.59
94,2018-11-06,78.3
95,2018-11-07,81.38
96,2018-11-08,96.34
97,2018-11-09,90.18
98,2018-11-12,90.56
99,2018-11-13,85.93
100,2018-11-14,81.4
101,2018-11-15,86.11
102,2018-11-16,89.5
103,2018-11-19,94.6
104,2018-11-20,100.21
105,2018-11-21,104.41
106,2018-11-22,107.74
107,2018-11-23,110.27
108,2018-11-26,126.99
109,2018-11-27,125.75
110,2018-11-28,118.81
111,2018-11-29,115.45
112,2018-11-30,104.35
113,2018-12-03,113.74
114,2018-12-04,110.7
115,2018-12-05,112.67
116,2018-12-06,98.29
117,2018-12-07,100.62
118,2018-12-10,96.78
119,2018-12-11,94.62
120,2018-12-12,100.05
121,2018-12-13,103.89
122,2018-12-14,97.82
123,2018-12-17,91.98
124,2018-12-18,92.04
125,2018-12-19,94.13
126,2018-12-20,95.48
127,2018-12-21,98.97
128,2018-12-24,91.18
129,2018-12-26,82.9
130,2018-12-27,85.04
131,2018-12-28,87.47
132,2019-01-02,84.45
133,2019-01-03,77.7
134,2019-01-04,78.96
135,2019-01-07,85.21
136,2019-01-08,90.04
137,2019-01-09,94.07
138,2019-01-10,98.23
139,2019-01-11,105.22
140,2019-01-14,99.64
141,2019-01-15,97.91
142,2019-01-16,102.42
143,2019-01-17,101.02
144,2019-01-18,109.4
145,2019-01-21,107.29
146,2019-01-22,108.83
147,2019-01-23,112.75
148,2019-01-24,118.33
149,2019-01-25,130.98
150,2019-01-28,126.5
151,2019-01-29,118.19
152,2019-01-30,126.41
153,2019-01-31,132.48
154,2019-02-01,131.77
155,2019-02-07,127.23
156,2019-02-08,126.1
157,2019-02-11,117.9
158,2019-02-12,120.05
159,2019-02-13,120.81
160,2019-02-14,121.95
161,2019-02-15,113.32
162,2019-02-18,113.82
163,2019-02-19,116.86
164,2019-02-20,111.12
165,2019-02-21,107.61
166,2019-02-22,107.76
167,2019-02-25,105.63
168,2019-02-26,103.16
169,2019-02-27,102.45
170,2019-02-28,96.0
171,2019-03-04,102.59
172,2019-03-05,100.11
173,2019-03-06,97.07
174,2019-03-07,91.9
175,2019-03-08,86.55
176,2019-03-11,86.68
177,2019-03-12,91.45
178,2019-03-13,91.36
179,2019-03-14,92.72
180,2019-03-15,90.37
181,2019-03-18,95.95
182,2019-03-19,92.45
183,2019-03-20,89.69
184,2019-03-21,85.58
185,2019-03-22,85.25
186,2019-03-25,79.91
187,2019-03-26,82.08
188,2019-03-27,81.57
189,2019-03-28,75.46
190,2019-03-29,84.33
191,2019-04-01,85.95
192,2019-04-02,86.74
193,2019-04-03,92.05
194,2019-04-04,97.35
195,2019-04-05,102.47
196,2019-04-08,104.58
197,2019-04-09,99.43
198,2019-04-10,103.1
199,2019-04-11,101.72
200,2019-04-12,105.4
201,2019-04-15,104.13
202,2019-04-16,103.65
203,2019-04-17,108.13
204,2019-04-18,106.66
205,2019-04-19,112.95
206,2019-04-22,122.18
207,2019-04-23,118.22
208,2019-04-24,114.86
209,2019-04-25,116.72
210,2019-04-26,108.62
211,2019-04-29,105.86
212,2019-04-30,104.31
213,2019-05-02,102.2
214,2019-05-03,99.81
215,2019-05-07,93.85
216,2019-05-08,91.8
217,2019-05-09,85.01
218,2019-05-10,80.93
219,2019-05-13,72.82
220,2019-05-14,72.82
221,2019-05-15,75.88
222,2019-05-16,74.84
223,2019-05-17,72.11
224,2019-05-20,73.21
225,2019-05-21,70.06
226,2019-05-22,69.57
227,2019-05-23,66.03
228,2019-05-24,66.12
229,2019-05-27,67.67
230,2019-05-28,73.19
231,2019-05-29,66.46
232,2019-05-30,67.28
233,2019-05-31,66.58
234,2019-06-03,67.59
235,2019-06-04,73.3
236,2019-06-05,76.57
237,2019-06-07,86.47
238,2019-06-10,92.28
239,2019-06-11,104.35
240,2019-06-12,102.72
241,2019-06-13,100.19
242,2019-06-14,99.93
243,2019-06-17,100.77
244,2019-06-18,103.88
245,2019-06-19,108.59
246,2019-06-20,112.81
247,2019-06-21,115.05
248,2019-06-24,118.35
249,2019-06-25,115.91
250,2019-06-26,108.62
251,2019-06-27,114.93
252,2019-06-28,110.99
253,2019-07-01,111.21
254,2019-07-02,111.86
255,2019-07-03,103.08
256,2019-07-04,99.49
257,2019-07-05,97.97
258,2019-07-08,84.31
259,2019-07-09,75.34
260,2019-07-10,77.41
261,2019-07-11,79.45
262,2019-07-12,83.23
263,2019-07-15,80.02
264,2019-07-16,80.9
265,2019-07-17,73.66
266,2019-07-18,69.73
267,2019-07-19,76.34
268,2019-07-22,75.63
269,2019-07-23,76.48
270,2019-07-24,74.49
271,2019-07-25,70.22
272,2019-07-26,68.37
273,2019-07-29,61.24
274,2019-07-30,63.71
275,2019-07-31,68.16
276,2019-08-01,66.13
277,2019-08-02,62.68
278,2019-08-05,63.04
279,2019-08-06,62.42
280,2019-08-07,62.26
281,2019-08-08,64.06
282,2019-08-09,65.1
283,2019-08-12,70.24
284,2019-08-13,69.06
285,2019-08-14,75.17
286,2019-08-16,72.71
287,2019-08-19,72.24
288,2019-08-20,77.71
289,2019-08-21,82.77
290,2019-08-22,84.88
291,2019-08-23,86.85
292,2019-08-26,84.49
293,2019-08-27,93.52
294,2019-08-28,94.16
295,2019-08-29,92.87
296,2019-08-30,103.37
297,2019-09-02,109.48
298,2019-09-03,121.05
299,2019-09-04,133.48
300,2019-09-05,131.71
301,2019-09-06,118.77
302,2019-09-09,112.78
303,2019-09-10,114.72
304,2019-09-11,124.17
305,2019-09-16,128.28
306,2019-09-17,137.58
307,2019-09-18,130.7
308,2019-09-19,121.83
309,2019-09-20,120.22
310,2019-09-23,122.67
311,2019-09-24,128.33
312,2019-09-25,129.36
313,2019-09-26,126.94
314,2019-09-27,116.53
315,2019-09-30,114.84
316,2019-10-01,109.76
317,2019-10-02,100.75
318,2019-10-04,93.81
319,2019-10-07,88.2
320,2019-10-08,89.57
321,2019-10-10,88.69
322,2019-10-11,92.33
323,2019-10-14,94.76
324,2019-10-15,91.09
325,2019-10-16,88.43
326,2019-10-17,84.93
327,2019-10-18,84.37
328,2019-10-21,82.78
329,2019-10-22,82.59
330,2019-10-23,78.27
331,2019-10-24,77.9
332,2019-10-25,82.26
