,Date,종가,종목코드,shift,증감,kospi_adr,kosdaq_adr,kospi_pm,kosdaq_pm,coef,intercept,ax+b,순위
371,20221130,6410,A238490,6200.0,3.387096774193549,128.27,111.02,6.720000000000013,3.9799999999999898,[-2.62579966],322.4156734557647,[72.96470545],1
50,20210810,11250,A238490,11300.0,-0.4424778761061947,74.47,77.99,-8.210000000000008,-7.550000000000011,[-0.81971612],95.76867727797752,[17.89564552],2
430,20230224,6290,A238490,6410.0,-1.87207488299532,89.2,92.16,-7.560000000000002,-6.260000000000005,[0.0888737],8.501234811342126,[16.94423674],3
264,20220627,6260,A238490,8070.0,-22.428748451053284,72.55,69.63,6.679999999999993,6.689999999999998,[-0.32436297],44.34657566512282,[13.53209371],4
279,20220718,6240,A238490,6260.0,-0.3194888178913738,100.15,109.2,15.310000000000002,16.590000000000003,[-0.204594],31.53436223358738,[12.09793193],5
289,20220801,8050,A238490,6250.0,28.799999999999997,135.72,142.04,10.200000000000003,10.150000000000006,[0.26933564],-14.428949163383002,[11.15793665],6
272,20220707,6200,A238490,6900.0,-10.144927536231885,67.02,69.31,6.779999999999994,7.850000000000001,[0.24560383],-12.460840040864978,[10.87152337],7
257,20220616,6900,A238490,7770.0,-11.196911196911197,68.55,66.36,-1.3500000000000085,-1.3400000000000034,[0.05648083],4.643692527532583,[10.00937145],8
233,20220511,8330,A238490,9140.0,-8.86214442013129,84.93,77.47,2.680000000000007,4.1299999999999955,[-0.28085905],36.63917976898617,[9.95757],9
211,20220408,8860,A238490,9400.0,-5.74468085106383,112.49,108.64,-3.490000000000009,-2.7099999999999937,[0.25703613],-25.524002709601053,[9.07700253],10
31,20210714,11350,A238490,11800.0,-3.8135593220338984,82.7,91.95,-3.759999999999991,-2.6199999999999903,[0.0699275],1.700995615164401,[8.34410834],11
220,20220421,9220,A238490,9130.0,0.9857612267250823,108.06,93.83,-0.9599999999999937,-1.0700000000000074,[0.2515216],-16.425728288566226,[7.4688241],12
107,20211105,9680,A238490,8370.0,15.651135005973716,91.93,95.81,-12.189999999999998,-14.009999999999991,[-0.0923126],16.009320663797304,[7.23962321],13
363,20221118,6250,A238490,5760.0,8.506944444444445,133.47,122.76,4.889999999999986,3.480000000000004,[0.30713891],-22.16740702460787,[7.0107892],14
241,20220523,7940,A238490,9030.0,-12.070874861572536,73.07,75.67,1.1399999999999864,2.489999999999995,[0.35105722],-26.77267280875989,[6.57776264],15
339,20221017,6000,A238490,7250.0,-17.24137931034483,66.58,66.44,1.9099999999999966,3.729999999999997,[0.18833009],-11.352829081620449,[6.53852958],16
