Date,kospi_adr,kosdaq_adr
A20210601,111.94,103.11
A20210602,116.34,105.64
A20210603,116.86,108.43
A20210604,107.93,104.01
A20210607,102.3,98.54
A20210608,95.42,92.51
A20210609,92.02,93.5
A20210610,97.75,100.05
A20210611,104.76,108.45
A20210614,102.29,105.12
A20210615,105.47,107.91
A20210616,104.28,106.9
A20210617,104.46,107.35
A20210618,109.55,112.94
A20210621,107.64,114.56
A20210622,106.6,109.33
A20210623,100.47,103.22
A20210624,99.05,98.35
A20210625,98.53,96.98
A20210628,99.71,96.52
A20210629,93.44,94.16
A20210630,92.12,96.21
A20210701,89.64,93.62
A20210702,90.14,93.67
A20210705,89.69,96.74
A20210706,92.08,100.14
A20210707,90.19,100.36
A20210708,83.41,92.83
A20210709,76.12,86.61
A20210712,81.61,90.24
A20210713,86.46,94.57
A20210714,82.7,91.95
A20210715,86.44,92.2
A20210716,85.9,88.74
A20210719,86.56,89.48
A20210720,78.73,85.12
A20210721,79.14,84.34
A20210722,81.36,87.72
A20210723,79.58,87.73
A20210726,73,82.22
A20210727,77.45,83.3
A20210728,73.91,77.62
A20210729,77.79,79.45
A20210730,74.48,76.74
A20210802,73.71,75.26
A20210803,69.92,73.07
A20210804,79.11,79.61
A20210805,87.79,89.54
A20210806,92.91,92.5
A20210809,82.68,85.54
A20210810,74.47,77.99
A20210811,73.74,75.69
A20210812,71.47,73.29
A20210813,67.93,70.1
A20210817,66.56,67.04
A20210818,74.43,73.01
A20210819,70.04,69.93
A20210820,62.01,63.54
A20210823,66.76,67.67
A20210824,77.52,76.85
A20210825,77.95,78.11
A20210826,79.79,80.47
A20210827,80.84,80.65
A20210830,87.78,86.55
A20210831,91.28,88.4
A20210901,98.56,94.57
A20210902,91.21,88.54
A20210903,91.26,86.17
A20210906,99.88,86.56
A20210907,104.37,87.73
A20210908,104.5,87.01
A20210909,99.8,87
A20210910,109.67,89.33
A20210913,114.64,89.22
A20210914,113.61,100.31
A20210915,121.74,94.84
A20210916,129.89,98.76
A20210917,118.06,106.67
A20210923,100.98,92.53
A20210924,96.13,84.16
A20210927,99.05,82.62
A20210928,89.73,78.34
A20210929,82.32,72.12
A20210930,82.93,70.83
A20211001,73.75,64.76
A20211005,70.4,57.12
A20211006,63.48,52.71
A20211007,67.67,57.03
A20211008,68.41,57.95
A20211012,66.83,56.09
A20211013,73.31,63.43
A20211014,82.88,72.49
A20211015,84.98,75.79
A20211018,87.68,80.75
A20211019,84.81,79.29
A20211020,85.06,79.74
A20211021,84.61,79.22
A20211022,83.26,78.78
A20211025,91.31,84.74
A20211026,95.96,91.23
A20211027,90.48,88.26
A20211028,91.16,92.05
A20211029,91.23,93.2
A20211101,87.49,91.18
A20211102,99.62,103.34
A20211103,99.66,106.16
A20211104,104.12,109.82
A20211105,91.93,95.81
A20211108,92.47,96.26
A20211109,92.86,98.72
A20211110,80.2,86.74
A20211111,70.93,76.36
A20211112,72.5,77.27
A20211115,76.12,81.64
A20211116,73.38,78.67
A20211117,70.1,77.24
A20211118,69.39,78.88
A20211119,71.72,81.23
A20211122,68.54,79.62
A20211123,65,72.23
A20211124,67.3,73.79
A20211125,67.61,73.53
A20211126,65.72,71.87
A20211129,61.09,68.2
A20211130,52.11,59
A20211201,60.18,66.96
A20211202,67.12,74.93
A20211203,75.97,83.99
A20211206,76.61,83.8
A20211207,81.57,88.27
A20211208,87.01,93.46
A20211209,96.32,102.38
A20211210,89.42,94.89
A20211213,84.03,89.62
A20211214,83.57,88.24
A20211215,87.2,88.75
A20211216,90.71,91.28
A20211217,92.18,87.9
A20211220,86.5,83.05
A20211221,87.75,86.09
A20211222,90.14,87.63
A20211223,95.84,91.7
A20211224,108.5,99.8
A20211227,119.11,107.61
A20211228,134.49,117.86
A20211229,124.47,114.15
A20211230,114.29,110.14
A20220103,106.24,106.15
A20220104,105.53,107.49
A20220105,98.88,99.31
A20220106,95.62,94.65
A20220107,95.32,95.39
A20220110,91.39,92.26
A20220111,87.26,87.33
A20220112,96.72,96.4
A20220113,98.59,96.61
A20220114,93.58,92.74
A20220117,85.74,88.63
A20220118,86.87,89.15
A20220119,82.86,84.87
A20220120,86.88,90.59
A20220121,82.18,85.76
A20220124,72.29,77.67
A20220125,65.46,70.87
A20220126,64.83,71.15
A20220127,58.97,62.8
A20220128,65.84,66.67
A20220203,70.98,69.61
A20220204,75.1,72.4
A20220207,77.89,75.9
A20220208,79.75,77.24
A20220209,81.55,77.7
A20220210,83.97,77.98
A20220211,83.85,77.04
A20220214,72.56,66.09
A20220215,68.57,63.45
A20220216,79.08,72.71
A20220217,85.37,76.32
A20220218,95.12,85.71
A20220221,99.45,89.7
A20220222,86.62,76.99
A20220223,95.55,84.92
A20220224,96,84.03
A20220225,112.17,98.94
A20220228,115.81,102.01
A20220302,133.3,118.09
A20220303,129.04,115.31
A20220304,117.03,103.29
A20220307,101.19,90.3
A20220308,93.74,84.68
A20220310,102.09,93.68
A20220311,98.37,90.59
A20220314,95.42,89.16
A20220315,98.52,93.92
A20220316,114.15,110.35
A20220317,126.28,125.38
A20220318,118.86,118.17
A20220321,118.45,118.8
A20220322,117.43,116.03
A20220323,121.05,116.65
A20220324,132.96,127.14
A20220325,123.11,120.22
A20220328,133.56,130.16
A20220329,126.48,122.65
A20220330,120.59,117.21
A20220331,119.9,112.95
A20220401,111.23,104.77
A20220404,117.79,112.78
A20220405,126.74,123.98
A20220406,131.01,127.07
A20220407,115.98,111.35
A20220408,112.49,108.64
A20220411,116.93,111.71
A20220412,115.05,108.51
A20220413,114.27,106.58
A20220414,112.8,100.09
A20220415,109.68,95.64
