,종목코드,final_return,순위,수익률
0,A060310,0.006643953038982316,1493,-1.1589403973509933
1,A095570,0.02929680824219443,770,6.933019976498238
2,A006840,0.01428555374717874,1178,1.486988847583643
3,A054620,0.0015447776962535262,1817,-10.03584229390681
4,A265520,0.002663755666721095,1739,0.234192037470726
5,A211270,0.06340023776838029,371,-4.827586206896552
6,A027410,0.007580189747510491,1440,-4.38489646772229
7,A282330,0.028544177525393483,786,-3.4138655462184873
8,A126600,0.5772588304362988,47,-16.55359565807327
9,A138930,0.037687933296606295,649,2.682563338301043
10,A001460,0.0079042971250308,1423,-1.5494636471990464
11,A013720,3.5089378790360644,10,9.533898305084746
12,A001040,0.0023297934551882097,1763,-16.252821670428894
13,A079160,0.019655813007833912,1004,-26.666666666666668
14,A035760,0.0046918615108886485,1606,-9.605263157894736
15,A311690,0.0796688118486253,291,-10.246679316888045
16,A000120,0.03115251716352502,741,-4.785276073619632
17,A011150,0.036667941307242304,665,10.179640718562874
18,A097950,0.026099350358921396,847,-10.806451612903226
19,A051500,0.04992623655752961,495,3.3868092691622103
20,A058820,0.0003338959141395246,1916,-8.172043010752688
21,A023460,0.0022395117127798837,1769,-5.191873589164786
22,A056730,0.004269397062506775,1634,-9.5856524427953
23,A083660,0.0025956563755879804,1744,-12.579342181188691
24,A000590,0.0018238026073536826,1801,-0.3241491085899514
25,A012030,5.489144266831144,6,30.26166097838453
26,A016610,0.027112155640256964,825,-0.9569377990430622
27,A005830,0.29700516701455965,87,3.2432432432432434
28,A000990,0.02819217056976061,791,5.629139072847682
29,A139130,0.032554964685504756,723,2.4251069900142657
30,A060900,0.20167160373055548,125,20.51792828685259
31,A025440,0.5424823701864575,50,10.989010989010989
32,A001530,0.7538212441729262,36,6.4593301435406705
33,A000210,0.11345986745959745,212,-2.622950819672131
34,A001880,0.013835763705442698,1196,0.6588579795021963
35,A375500,0.0009216284800326987,1869,1.2396694214876034
36,A068790,0.03549274719946004,679,4.854368932038835
37,A007340,0.03764213206900156,650,3.9850560398505603
38,A004840,0.01692634895543601,1098,6.438631790744467
39,A241520,0.005722000155018768,1539,-3.018867924528302
40,A065150,0.09122735789343729,255,-12.20159151193634
41,A155660,0.23709279707564562,113,2.6
42,A069730,0.11162445409703087,216,0.4094165813715456
43,A180400,0.005197455366368533,1572,-8.035714285714286
44,A017940,0.02014097427231526,987,1.9762845849802373
45,A245620,0.04611301732190832,540,-10.135135135135135
46,A037370,0.04346742311304676,569,-11.922141119221411
47,A050120,0.002398131233279911,1756,-2.696871628910464
48,A383220,0.4497083885875735,60,1.0046367851622875
49,A007700,0.0500257573011025,493,0.7371007371007371
50,A214270,0.2358878696488454,114,-6.171107994389901
51,A130500,0.0024986124126259927,1748,-0.708215297450425
52,A114090,0.017691522345226907,1061,-11.57194060419867
53,A078930,0.027415783757455233,811,-1.8181818181818181
54,A083450,0.0010949755284392626,1854,6.16822429906542
55,A006360,0.021592959732685275,955,0.24096385542168677
56,A001250,0.017569830782622742,1069,5.016722408026756
57,A007070,0.34745275842186235,77,-3.8229376257545273
58,A297890,0.0015857464923573694,1812,-4.531722054380665
59,A078150,0.015582396597702384,1141,-13.036020583190394
60,A012630,0.03514183772264257,684,-4.838709677419355
61,A039570,0.0008588754028598811,1877,-4.176334106728538
62,A089470,0.006461635133360469,1501,-2.9441624365482233
63,A294870,0.030254498704020267,748,-5.263157894736842
64,A009540,0.016221186952460363,1129,25.363825363825367
65,A267250,0.0509501072748483,481,11.208406304728546
66,A267270,0.007622599055842668,1437,19.565217391304348
67,A322000,0.18030967555537725,142,-2.67314702308627
68,A042670,0.10521100337293474,227,22.770199370409234
69,A267260,0.0585812472292577,413,19.222903885480573
70,A097230,0.014559923563539027,1171,10.419485791610285
71,A014790,0.0067780509446756084,1485,-1.7793594306049825
72,A028300,0.007795695790069266,1429,-14.45945945945946
73,A003580,0.018995870864550658,1018,-12.45674740484429
74,A278650,0.038578874414794115,636,-11.428571428571429
75,A067630,0.00045815536794044126,1906,-11.041852181656278
76,A024850,1.0257412360635452,28,7.708553326293559
77,A047920,0.015330136245092323,1144,-13.001293661060803
78,A115450,0.003990638891220674,1651,-13.157894736842104
79,A204320,0.06511948166178416,363,7.261410788381744
80,A060980,0.03522814938484129,683,2.250351617440225
81,A011200,0.11210902168320991,215,5.126760563380282
82,A036640,0.012673959829538782,1232,2.3450586264656614
83,A082740,0.033970702117677914,707,16.704805491990847
84,A003560,0.026337261691295757,843,0.0
85,A095340,0.008788316199828249,1389,1.9607843137254901
86,A099520,8.638369427636357e-08,1979,0.0
87,A175330,0.06022619867725407,393,0.35294117647058826
88,A234080,0.008772030042512285,1390,2.834008097165992
89,A067290,0.006153504308420702,1518,-6.329113924050633
90,A001060,0.012086718446276977,1258,-2.159827213822894
91,A096760,0.010333140128327034,1333,-4.491017964071856
92,A035900,0.002965477674776989,1713,10.163934426229508
93,A318000,0.0023366723225008356,1762,-11.029411764705882
94,A024840,0.07869062920165165,301,-1.3054830287206265
95,A105560,0.03390265003411938,710,-2.2916666666666665
96,A024120,0.07227318824504696,327,-3.3333333333333335
97,A002380,0.05299858434925061,456,-1.1990407673860912
98,A021320,0.00831435451327903,1404,-1.215277777777778
99,A344820,0.041528266873715976,592,3.944315545243619
100,A036670,0.047936140993728935,514,-1.9406392694063925
101,A009070,0.049365880076513415,498,0.6045949214026602
102,A009440,0.034564827785749264,696,-2.81214848143982
103,A119650,0.09364018148334985,250,-17.438271604938272
104,A092220,0.030872524675714365,742,-5.311778290993072
105,A151860,0.02250922502810454,932,-5.119214586255259
106,A046440,0.042366707780059625,584,0.3472222222222222
107,A003620,0.002975262409130939,1712,-16.39676113360324
108,A016380,0.002941625841571943,1716,3.59955005624297
109,A035600,0.07118915545952519,335,-3.8651315789473686
110,A001390,0.004993093491252106,1586,38.33580980683507
111,A033180,3.404737741656242e-07,1964,0.0
112,A060720,0.007223129187778275,1461,1.201923076923077
113,A001940,0.11816553837146469,195,-3.4594594594594597
114,A058400,0.007390328015524289,1449,15.40948275862069
115,A114450,0.04181996902343552,588,-7.002457002457002
116,A025000,0.052072021963201286,465,0.0
117,A092230,0.06615648556395627,357,1.7578125
118,A000040,0.005342362016010419,1568,-10.44776119402985
119,A044450,0.059618251211276244,398,6.343283582089552
120,A030200,0.03025077870923513,749,-2.535657686212361
121,A033780,0.05912056798906295,406,-1.9138755980861244
122,A058850,0.15586884505080578,157,4.678362573099415
123,A058860,0.04100027580837695,599,6.366459627329192
124,A060370,0.004847778312055539,1596,12.976022566995768
125,A122450,0.1815322743995231,139,-1.2974051896207583
126,A052900,0.010249059786619611,1336,-1.7116524028966424
127,A061970,0.021584077261052857,956,-2.176541717049577
128,A093050,0.1348965280529378,177,2.1328458257160268
129,A003550,0.0217765072434838,948,3.0232558139534884
130,A034220,0.054594264294266115,440,7.188295165394402
131,A051900,0.102060203100448,233,-4.933586337760911
132,A032640,0.03604401755624844,671,-3.558718861209965
133,A011070,0.02362589784547007,902,0.0
134,A066570,0.05597594833121104,431,1.7915309446254073
135,A037560,0.027308140270202508,816,-0.33975084937712347
136,A051910,0.10059250046137762,236,4.329004329004329
137,A079550,0.012286938266908418,1248,3.787878787878788
138,A006260,0.021694351075421427,952,13.64190012180268
139,A010120,0.01032071061364277,1335,17.739403453689167
140,A000680,0.001411000544222287,1829,-1.048951048951049
141,A229640,0.01483081047488213,1163,6.569343065693431
142,A108320,0.027130367226890637,824,4.905335628227195
143,A001120,0.0022982689975268415,1764,15.397350993377485
144,A108670,0.0010600478435729655,1859,4.069767441860465
145,A383800,0.0413708369235251,593,-0.8547008547008548
146,A086960,0.0011397216222245635,1846,-13.405797101449277
147,A023150,0.02929049104968048,771,-0.2680965147453083
148,A035420,0.0174379695346953,1071,-4.8120300751879705
149,A160550,0.0034056188909531,1686,14.027149321266968
150,A053290,0.05908250446975399,407,30.066815144766146
151,A181710,0.02344128664074189,906,-4.190476190476191
152,A060250,0.003926294960841352,1656,-9.425493716337522
153,A104200,0.007658231843955977,1435,-7.178631051752922
154,A005940,0.03486025611689543,690,-3.203203203203203
155,A034310,0.04955976966709055,497,-9.01639344262295
156,A030190,0.005383918081460887,1560,-1.4191106906338695
157,A008260,1.185065481825478,26,15.384615384615385
158,A004250,0.0221961990780303,936,6.00924499229584
159,A010060,0.0809011586693353,286,23.201856148491878
160,A178920,0.005496088217954668,1553,12.162162162162163
161,A024940,0.0007184036837000759,1893,-8.052708638360176
162,A005490,0.26516681160718847,96,6.25
163,A218410,0.03770994434177946,648,-6.437768240343347
164,A327260,0.01615611346720894,1132,2.8973509933774833
165,A091340,0.09601238600856923,243,-1.2135922330097086
166,A010950,0.0025553544060152268,1746,-1.9390581717451523
167,A019550,0.019006222100623422,1017,-1.5567765567765568
168,A034120,0.031187749873095985,740,-6.0606060606060606
169,A046140,0.06641077623792185,356,5.314009661835748
170,A151910,0.003290890063123838,1693,-2.8901734104046244
171,A036120,0.0055230589032647616,1551,-5.982905982905983
172,A099220,0.008881637250029259,1383,-5.037037037037037
173,A036540,0.0063254254629457295,1508,-1.054481546572935
174,A255220,0.07129117242903717,333,18.26697892271663
175,A040610,0.001746019420334181,1804,8.602771362586605
