,Unnamed: 0_x,Date,ADR,Unnamed: 0_y,Open,High,Low,Close,Volume,name,code
0,1,20180620,73.81,0,27270,27543,27200,27386,8586214,KODEX_200,69500
1,2,20180621,69.72,1,27356,27464,27125,27153,9493457,KODEX_200,69500
2,3,20180622,70.92,2,26893,27351,26889,27358,10291911,KODEX_200,69500
3,4,20180625,75.88,3,27279,27400,27070,27344,15507285,KODEX_200,69500
4,5,20180626,77.95,4,27089,27363,26981,27313,8795326,KODEX_200,69500
5,6,20180627,71.09,5,27228,27378,27188,27216,12336214,KODEX_200,69500
6,7,20180628,70.63,6,27120,27180,26893,26973,9273669,KODEX_200,69500
7,8,20180629,75.35,7,26995,27089,26708,27031,15899936,KODEX_200,69500
8,9,20180702,67.27,8,26977,27053,26418,26427,10619070,KODEX_200,69500
9,10,20180703,67.15,9,26567,26617,26262,26465,10991525,KODEX_200,69500
10,11,20180704,67.3,10,26468,26585,26357,26387,7818026,KODEX_200,69500
11,12,20180705,64.58,11,26380,26500,26164,26324,8807543,KODEX_200,69500
12,13,20180706,66.83,12,26308,26626,26199,26514,10009304,KODEX_200,69500
13,14,20180709,67.94,13,26495,26789,26418,26710,9353001,KODEX_200,69500
14,15,20180710,68.99,14,26813,26897,26722,26746,5485328,KODEX_200,69500
15,16,20180711,68.94,15,26544,26652,26335,26596,11421501,KODEX_200,69500
16,17,20180712,74.25,16,26634,26803,26531,26677,8172343,KODEX_200,69500
17,18,20180713,77.67,17,26708,27016,26698,26942,8885520,KODEX_200,69500
18,19,20180716,80.8,18,26958,27025,26826,26860,8716938,KODEX_200,69500
19,20,20180717,85.2,19,26856,26914,26693,26828,8075605,KODEX_200,69500
20,21,20180718,77.04,20,26958,27084,26726,26764,8404148,KODEX_200,69500
21,22,20180719,77.08,21,26851,26897,26667,26693,7848921,KODEX_200,69500
22,23,20180720,78.08,22,26712,26856,26544,26823,9466916,KODEX_200,69500
23,24,20180723,71.28,23,26803,26813,26554,26609,8095992,KODEX_200,69500
24,25,20180724,77.73,24,26647,26730,26504,26689,2848354,KODEX_200,69500
25,26,20180725,79.48,25,26740,26843,26599,26642,6780080,KODEX_200,69500
26,27,20180726,87.86,26,26784,26922,26671,26818,2890108,KODEX_200,69500
27,28,20180727,89.3,27,26847,26893,26762,26900,1843583,KODEX_200,69500
28,29,20180730,98.91,28,26821,26907,26722,26837,6075938,KODEX_200,69500
29,30,20180731,99.85,29,26838,26875,26752,26873,5973668,KODEX_200,69500
30,31,20180801,103.98,30,26918,27071,26902,26969,6297742,KODEX_200,69500
31,32,20180802,104.26,31,26955,26955,26449,26486,6315816,KODEX_200,69500
32,33,20180803,103.83,32,26558,26697,26484,26692,6506376,KODEX_200,69500
33,34,20180806,106.96,33,26708,26847,26643,26653,9280859,KODEX_200,69500
34,35,20180807,101.29,34,26693,26835,26576,26833,6911199,KODEX_200,69500
35,36,20180808,102.27,35,26893,26941,26808,26837,6206242,KODEX_200,69500
36,37,20180809,99.67,36,26831,26860,26703,26823,5557593,KODEX_200,69500
37,38,20180810,95.53,37,26762,26762,26467,26533,6190011,KODEX_200,69500
38,39,20180813,89.76,38,26338,26379,26033,26180,7776903,KODEX_200,69500
39,40,20180814,94.73,39,26184,26338,26171,26295,5711641,KODEX_200,69500
40,41,20180816,98.27,40,25967,26111,25797,26041,6989531,KODEX_200,69500
41,42,20180817,107.64,41,26042,26120,25987,26050,5417431,KODEX_200,69500
42,43,20180820,109.75,42,26153,26275,26030,26072,5735291,KODEX_200,69500
43,44,20180821,120.1,43,26056,26383,26003,26355,5462988,KODEX_200,69500
44,45,20180822,112.27,44,26374,26516,26334,26449,11706280,KODEX_200,69500
45,46,20180823,114.66,45,26567,26572,26408,26559,5403783,KODEX_200,69500
46,47,20180824,110.73,46,26504,26712,26413,26663,4091947,KODEX_200,69500
47,48,20180827,104.9,47,26752,26835,26662,26796,4407400,KODEX_200,69500
48,49,20180828,104.56,48,26914,26982,26799,26815,7380570,KODEX_200,69500
49,50,20180829,104.27,49,26842,26918,26799,26890,3995581,KODEX_200,69500
50,51,20180830,99.87,50,26923,27062,26835,26905,8012112,KODEX_200,69500
51,52,20180831,105.51,51,26780,27017,26730,27015,5061348,KODEX_200,69500
52,53,20180903,98.9,52,26991,26991,26813,26855,6555297,KODEX_200,69500
53,54,20180904,99.47,53,26856,26991,26803,26973,6502412,KODEX_200,69500
54,55,20180905,98.49,54,26875,26928,26576,26626,6532980,KODEX_200,69500
55,56,20180906,97.38,55,26554,26698,26512,26587,7192223,KODEX_200,69500
56,57,20180907,99.5,56,26379,26526,26248,26435,5849108,KODEX_200,69500
57,58,20180910,101.23,57,26416,26543,26391,26495,5423490,KODEX_200,69500
58,59,20180911,111.86,58,26467,26599,26322,26409,4741249,KODEX_200,69500
59,60,20180912,106.65,59,26427,26467,26252,26382,6979941,KODEX_200,69500
60,61,20180913,109.87,60,26392,26481,26348,26418,3794029,KODEX_200,69500
61,62,20180914,109.0,61,26580,26860,26580,26837,6148309,KODEX_200,69500
62,63,20180917,103.25,62,26748,26762,26540,26626,6559297,KODEX_200,69500
63,64,20180918,98.49,63,26441,26762,26427,26741,6918283,KODEX_200,69500
64,65,20180919,95.44,64,26860,26860,26652,26764,6989587,KODEX_200,69500
65,66,20180920,93.36,65,26847,27109,26813,27019,6048201,KODEX_200,69500
66,67,20180921,95.26,66,27085,27118,26982,27127,9171572,KODEX_200,69500
67,68,20180927,99.96,67,27061,27375,27054,27333,4484977,KODEX_200,69500
68,69,20180928,97.3,68,27362,27362,27138,27161,6987430,KODEX_200,69500
69,70,20181001,95.35,69,27196,27279,27050,27156,4915218,KODEX_200,69500
70,71,20181002,90.06,70,27126,27201,26803,26828,5073326,KODEX_200,69500
71,72,20181004,85.12,71,26856,26856,26356,26413,8115451,KODEX_200,69500
72,73,20181005,83.04,72,26366,26462,26188,26372,8789207,KODEX_200,69500
73,74,20181008,78.41,73,26243,26441,26226,26241,5275252,KODEX_200,69500
74,75,20181010,73.57,74,26280,26293,25972,26072,7142819,KODEX_200,69500
75,76,20181011,67.94,75,25412,25576,24961,24993,13035846,KODEX_200,69500
76,77,20181012,70.77,76,24971,25431,24939,25237,18430497,KODEX_200,69500
77,78,20181015,67.95,77,25161,25221,25021,25097,4599715,KODEX_200,69500
78,79,20181016,69.5,78,25198,25279,24990,25031,3778399,KODEX_200,69500
79,80,20181017,74.33,79,25327,25501,25251,25356,4677890,KODEX_200,69500
80,81,20181018,70.83,80,25256,25331,25099,25127,5543445,KODEX_200,69500
81,82,20181019,68.7,81,24931,25256,24785,25227,4855684,KODEX_200,69500
82,83,20181022,71.34,82,25045,25327,24985,25277,3757702,KODEX_200,69500
83,84,20181023,66.44,83,25090,25115,24521,24691,8767734,KODEX_200,69500
84,85,20181024,67.61,84,24813,24834,24516,24564,12539145,KODEX_200,69500
85,86,20181025,64.58,85,24049,24179,23816,24173,12106469,KODEX_200,69500
86,87,20181026,57.89,86,24192,24197,23568,23788,8531236,KODEX_200,69500
87,88,20181029,51.22,87,23866,24025,23548,23596,5495105,KODEX_200,69500
88,89,20181030,53.93,88,23560,23969,23476,23760,8303525,KODEX_200,69500
89,90,20181031,58.12,89,23817,23890,23625,23869,6388888,KODEX_200,69500
90,91,20181101,64.04,90,23900,24164,23760,23768,5308709,KODEX_200,69500
91,92,20181102,73.2,91,24071,24677,24032,24667,6656197,KODEX_200,69500
92,93,20181105,73.59,92,24551,24551,24105,24397,7189790,KODEX_200,69500
93,94,20181106,78.3,93,24520,24603,24292,24567,6579802,KODEX_200,69500
94,95,20181107,81.38,94,24556,24780,24373,24443,6939682,KODEX_200,69500
95,96,20181108,96.34,95,24825,24980,24645,24648,6450728,KODEX_200,69500
96,97,20181109,90.18,96,24640,24728,24479,24501,8738439,KODEX_200,69500
97,98,20181112,90.56,97,24310,24611,24274,24562,4386296,KODEX_200,69500
98,99,20181113,85.93,98,24186,24410,23954,24379,8402814,KODEX_200,69500
99,100,20181114,81.4,99,24391,24420,24242,24317,5327084,KODEX_200,69500
100,101,20181115,86.11,100,24282,24574,24201,24557,7524511,KODEX_200,69500
101,102,20181116,89.5,101,24657,24715,24501,24538,5104435,KODEX_200,69500
102,103,20181119,94.6,102,24579,24776,24501,24627,4844965,KODEX_200,69500
103,104,20181120,100.21,103,24355,24492,24305,24384,8558197,KODEX_200,69500
104,105,20181121,104.41,104,24064,24287,23992,24265,6141961,KODEX_200,69500
105,106,20181122,107.74,105,24265,24341,24186,24239,6119137,KODEX_200,69500
106,107,20181123,110.27,106,24221,24287,23974,24084,5344075,KODEX_200,69500
107,108,20181126,126.99,107,24140,24424,24117,24410,6519116,KODEX_200,69500
108,109,20181127,125.75,108,24487,24645,24351,24598,6315396,KODEX_200,69500
109,110,20181128,118.81,109,24677,24751,24551,24749,5363480,KODEX_200,69500
110,111,20181129,115.45,110,25083,25116,24732,24795,4150377,KODEX_200,69500
111,112,20181130,104.35,111,24844,24893,24501,24562,5947395,KODEX_200,69500
112,113,20181203,113.74,112,24907,25050,24751,24993,6110470,KODEX_200,69500
113,114,20181204,110.7,113,24884,24916,24584,24712,8417842,KODEX_200,69500
114,115,20181205,112.67,114,24383,24649,24383,24562,10905166,KODEX_200,69500
115,116,20181206,98.29,115,24432,24442,24145,24198,9920214,KODEX_200,69500
116,117,20181207,100.62,116,24292,24383,24169,24279,8614593,KODEX_200,69500
117,118,20181210,96.78,117,23945,24091,23867,24050,12864193,KODEX_200,69500
118,119,20181211,94.62,118,24081,24105,23910,23993,19551069,KODEX_200,69500
119,120,20181212,100.05,119,24081,24341,24051,24307,13600440,KODEX_200,69500
