,Unnamed: 0_x,Date,ADR,Unnamed: 0_y,Open,High,Low,Close,Volume,name,code
0,1,20180620,73.81,0,6390,6400,6325,6355,8898834,KODEX_Inverse,114800
1,2,20180621,69.72,1,6380,6425,6345,6425,6060717,KODEX_Inverse,114800
2,3,20180622,70.92,2,6465,6485,6365,6365,8228829,KODEX_Inverse,114800
3,4,20180625,75.88,3,6365,6440,6355,6365,5050848,KODEX_Inverse,114800
4,5,20180626,77.95,4,6445,6455,6365,6375,7301345,KODEX_Inverse,114800
5,6,20180627,71.09,5,6390,6410,6360,6400,4613410,KODEX_Inverse,114800
6,7,20180628,70.63,6,6430,6475,6405,6460,7005493,KODEX_Inverse,114800
7,8,20180629,75.35,7,6440,6520,6430,6445,6352546,KODEX_Inverse,114800
8,9,20180702,67.27,8,6455,6590,6440,6585,7053104,KODEX_Inverse,114800
9,10,20180703,67.15,9,6535,6630,6535,6575,6552160,KODEX_Inverse,114800
10,11,20180704,67.3,10,6575,6610,6550,6590,5979625,KODEX_Inverse,114800
11,12,20180705,64.58,11,6595,6650,6570,6615,9373814,KODEX_Inverse,114800
12,13,20180706,66.83,12,6620,6645,6535,6565,9599971,KODEX_Inverse,114800
13,14,20180709,67.94,13,6565,6595,6500,6520,6133222,KODEX_Inverse,114800
14,15,20180710,68.99,14,6485,6520,6475,6515,4915921,KODEX_Inverse,114800
15,16,20180711,68.94,15,6565,6615,6530,6545,9049795,KODEX_Inverse,114800
16,17,20180712,74.25,16,6540,6565,6495,6525,6577985,KODEX_Inverse,114800
17,18,20180713,77.67,17,6520,6525,6445,6455,7125770,KODEX_Inverse,114800
18,19,20180716,80.8,18,6450,6490,6440,6485,4011809,KODEX_Inverse,114800
19,20,20180717,85.2,19,6485,6520,6465,6485,6362674,KODEX_Inverse,114800
20,21,20180718,77.04,20,6450,6515,6425,6505,4838746,KODEX_Inverse,114800
21,22,20180719,77.08,21,6485,6530,6475,6520,5183268,KODEX_Inverse,114800
22,23,20180720,78.08,22,6525,6560,6480,6490,7876889,KODEX_Inverse,114800
23,24,20180723,71.28,23,6495,6555,6495,6535,4203538,KODEX_Inverse,114800
24,25,20180724,77.73,24,6535,6570,6515,6525,4029827,KODEX_Inverse,114800
25,26,20180725,79.48,25,6515,6545,6485,6530,4010177,KODEX_Inverse,114800
26,27,20180726,87.86,26,6495,6530,6465,6500,4476963,KODEX_Inverse,114800
27,28,20180727,89.3,27,6490,6510,6470,6470,3527186,KODEX_Inverse,114800
28,29,20180730,98.91,28,6490,6520,6475,6495,3879563,KODEX_Inverse,114800
29,30,20180731,99.85,29,6495,6510,6475,6480,3917819,KODEX_Inverse,114800
30,31,20180801,103.98,30,6465,6470,6435,6455,3980628,KODEX_Inverse,114800
31,32,20180802,104.26,31,6465,6580,6460,6570,5057383,KODEX_Inverse,114800
32,33,20180803,103.83,32,6550,6575,6515,6520,3050948,KODEX_Inverse,114800
33,34,20180806,106.96,33,6520,6535,6485,6525,4004843,KODEX_Inverse,114800
34,35,20180807,101.29,34,6515,6555,6490,6490,3806603,KODEX_Inverse,114800
35,36,20180808,102.27,35,6485,6500,6470,6490,2886018,KODEX_Inverse,114800
36,37,20180809,99.67,36,6490,6525,6480,6490,3713747,KODEX_Inverse,114800
37,38,20180810,95.53,37,6510,6575,6510,6565,5195609,KODEX_Inverse,114800
38,39,20180813,89.76,38,6600,6680,6600,6645,6535574,KODEX_Inverse,114800
39,40,20180814,94.73,39,6645,6650,6605,6620,3488617,KODEX_Inverse,114800
40,41,20180816,98.27,40,6700,6745,6665,6680,6717799,KODEX_Inverse,114800
41,42,20180817,107.64,41,6670,6695,6660,6680,3364014,KODEX_Inverse,114800
42,43,20180820,109.75,42,6660,6690,6625,6675,2970814,KODEX_Inverse,114800
43,44,20180821,120.1,43,6680,6695,6600,6605,5106882,KODEX_Inverse,114800
44,45,20180822,112.27,44,6605,6615,6565,6585,4548099,KODEX_Inverse,114800
45,46,20180823,114.66,45,6565,6595,6555,6555,3183812,KODEX_Inverse,114800
46,47,20180824,110.73,46,6565,6595,6515,6530,4427726,KODEX_Inverse,114800
47,48,20180827,104.9,47,6510,6530,6490,6495,3105020,KODEX_Inverse,114800
48,49,20180828,104.56,48,6460,6495,6455,6490,4080006,KODEX_Inverse,114800
49,50,20180829,104.27,49,6490,6500,6470,6470,3773786,KODEX_Inverse,114800
50,51,20180830,99.87,50,6470,6495,6440,6475,5339728,KODEX_Inverse,114800
51,52,20180831,105.51,51,6505,6520,6445,6445,5462105,KODEX_Inverse,114800
52,53,20180903,98.9,52,6455,6500,6455,6485,3531863,KODEX_Inverse,114800
53,54,20180904,99.47,53,6485,6505,6450,6450,2960949,KODEX_Inverse,114800
54,55,20180905,98.49,54,6480,6555,6470,6545,5154196,KODEX_Inverse,114800
55,56,20180906,97.38,55,6555,6570,6525,6560,4588370,KODEX_Inverse,114800
56,57,20180907,99.5,56,6595,6635,6565,6580,6809844,KODEX_Inverse,114800
57,58,20180910,101.23,57,6605,6605,6560,6585,5305403,KODEX_Inverse,114800
58,59,20180911,111.86,58,6585,6620,6555,6590,4332857,KODEX_Inverse,114800
59,60,20180912,106.65,59,6590,6625,6575,6590,2502711,KODEX_Inverse,114800
60,61,20180913,109.87,60,6595,6605,6575,6590,3317915,KODEX_Inverse,114800
61,62,20180914,109.0,61,6545,6545,6485,6485,6584168,KODEX_Inverse,114800
62,63,20180917,103.25,62,6505,6555,6505,6530,4198038,KODEX_Inverse,114800
63,64,20180918,98.49,63,6570,6585,6500,6500,5447190,KODEX_Inverse,114800
64,65,20180919,95.44,64,6475,6530,6475,6505,3352111,KODEX_Inverse,114800
65,66,20180920,93.36,65,6485,6500,6425,6445,5421115,KODEX_Inverse,114800
66,67,20180921,95.26,66,6425,6450,6415,6415,3521498,KODEX_Inverse,114800
67,68,20180927,99.96,67,6440,6440,6365,6370,4634674,KODEX_Inverse,114800
68,69,20180928,97.3,68,6370,6415,6370,6405,4019682,KODEX_Inverse,114800
69,70,20181001,95.35,69,6395,6440,6380,6410,3171158,KODEX_Inverse,114800
70,71,20181002,90.06,70,6425,6495,6400,6490,3405078,KODEX_Inverse,114800
71,72,20181004,85.12,71,6485,6600,6485,6595,5291915,KODEX_Inverse,114800
72,73,20181005,83.04,72,6610,6650,6580,6600,5614489,KODEX_Inverse,114800
