,Date,Open,High,Low,Close,Volume,name,code
0,20180620,6390,6400,6325,6355,8898834,KODEX_Inverse,114800
1,20180621,6380,6425,6345,6425,6060717,KODEX_Inverse,114800
2,20180622,6465,6485,6365,6365,8228829,KODEX_Inverse,114800
3,20180625,6365,6440,6355,6365,5050848,KODEX_Inverse,114800
4,20180626,6445,6455,6365,6375,7301345,KODEX_Inverse,114800
5,20180627,6390,6410,6360,6400,4613410,KODEX_Inverse,114800
6,20180628,6430,6475,6405,6460,7005493,KODEX_Inverse,114800
7,20180629,6440,6520,6430,6445,6352546,KODEX_Inverse,114800
8,20180702,6455,6590,6440,6585,7053104,KODEX_Inverse,114800
9,20180703,6535,6630,6535,6575,6552160,KODEX_Inverse,114800
10,20180704,6575,6610,6550,6590,5979625,KODEX_Inverse,114800
11,20180705,6595,6650,6570,6615,9373814,KODEX_Inverse,114800
12,20180706,6620,6645,6535,6565,9599971,KODEX_Inverse,114800
13,20180709,6565,6595,6500,6520,6133222,KODEX_Inverse,114800
14,20180710,6485,6520,6475,6515,4915921,KODEX_Inverse,114800
15,20180711,6565,6615,6530,6545,9049795,KODEX_Inverse,114800
16,20180712,6540,6565,6495,6525,6577985,KODEX_Inverse,114800
17,20180713,6520,6525,6445,6455,7125770,KODEX_Inverse,114800
18,20180716,6450,6490,6440,6485,4011809,KODEX_Inverse,114800
19,20180717,6485,6520,6465,6485,6362674,KODEX_Inverse,114800
20,20180718,6450,6515,6425,6505,4838746,KODEX_Inverse,114800
21,20180719,6485,6530,6475,6520,5183268,KODEX_Inverse,114800
22,20180720,6525,6560,6480,6490,7876889,KODEX_Inverse,114800
23,20180723,6495,6555,6495,6535,4203538,KODEX_Inverse,114800
24,20180724,6535,6570,6515,6525,4029827,KODEX_Inverse,114800
25,20180725,6515,6545,6485,6530,4010177,KODEX_Inverse,114800
26,20180726,6495,6530,6465,6500,4476963,KODEX_Inverse,114800
27,20180727,6490,6510,6470,6470,3527186,KODEX_Inverse,114800
28,20180730,6490,6520,6475,6495,3879563,KODEX_Inverse,114800
29,20180731,6495,6510,6475,6480,3917819,KODEX_Inverse,114800
30,20180801,6465,6470,6435,6455,3980628,KODEX_Inverse,114800
31,20180802,6465,6580,6460,6570,5057383,KODEX_Inverse,114800
32,20180803,6550,6575,6515,6520,3050948,KODEX_Inverse,114800
33,20180806,6520,6535,6485,6525,4004843,KODEX_Inverse,114800
34,20180807,6515,6555,6490,6490,3806603,KODEX_Inverse,114800
35,20180808,6485,6500,6470,6490,2886018,KODEX_Inverse,114800
36,20180809,6490,6525,6480,6490,3713747,KODEX_Inverse,114800
37,20180810,6510,6575,6510,6565,5195609,KODEX_Inverse,114800
38,20180813,6600,6680,6600,6645,6535574,KODEX_Inverse,114800
39,20180814,6645,6650,6605,6620,3488617,KODEX_Inverse,114800
40,20180816,6700,6745,6665,6680,6717799,KODEX_Inverse,114800
41,20180817,6670,6695,6660,6680,3364014,KODEX_Inverse,114800
42,20180820,6660,6690,6625,6675,2970814,KODEX_Inverse,114800
43,20180821,6680,6695,6600,6605,5106882,KODEX_Inverse,114800
44,20180822,6605,6615,6565,6585,4548099,KODEX_Inverse,114800
45,20180823,6565,6595,6555,6555,3183812,KODEX_Inverse,114800
46,20180824,6565,6595,6515,6530,4427726,KODEX_Inverse,114800
47,20180827,6510,6530,6490,6495,3105020,KODEX_Inverse,114800
48,20180828,6460,6495,6455,6490,4080006,KODEX_Inverse,114800
49,20180829,6490,6500,6470,6470,3773786,KODEX_Inverse,114800
50,20180830,6470,6495,6440,6475,5339728,KODEX_Inverse,114800
51,20180831,6505,6520,6445,6445,5462105,KODEX_Inverse,114800
52,20180903,6455,6500,6455,6485,3531863,KODEX_Inverse,114800
53,20180904,6485,6505,6450,6450,2960949,KODEX_Inverse,114800
54,20180905,6480,6555,6470,6545,5154196,KODEX_Inverse,114800
55,20180906,6555,6570,6525,6560,4588370,KODEX_Inverse,114800
56,20180907,6595,6635,6565,6580,6809844,KODEX_Inverse,114800
57,20180910,6605,6605,6560,6585,5305403,KODEX_Inverse,114800
58,20180911,6585,6620,6555,6590,4332857,KODEX_Inverse,114800
59,20180912,6590,6625,6575,6590,2502711,KODEX_Inverse,114800
60,20180913,6595,6605,6575,6590,3317915,KODEX_Inverse,114800
61,20180914,6545,6545,6485,6485,6584168,KODEX_Inverse,114800
62,20180917,6505,6555,6505,6530,4198038,KODEX_Inverse,114800
63,20180918,6570,6585,6500,6500,5447190,KODEX_Inverse,114800
64,20180919,6475,6530,6475,6505,3352111,KODEX_Inverse,114800
65,20180920,6485,6500,6425,6445,5421115,KODEX_Inverse,114800
66,20180921,6425,6450,6415,6415,3521498,KODEX_Inverse,114800
67,20180927,6440,6440,6365,6370,4634674,KODEX_Inverse,114800
68,20180928,6370,6415,6370,6405,4019682,KODEX_Inverse,114800
69,20181001,6395,6440,6380,6410,3171158,KODEX_Inverse,114800
70,20181002,6425,6495,6400,6490,3405078,KODEX_Inverse,114800
71,20181004,6485,6600,6485,6595,5291915,KODEX_Inverse,114800
72,20181005,6610,6650,6580,6600,5614489,KODEX_Inverse,114800
73,20181008,6630,6635,6585,6630,3586764,KODEX_Inverse,114800
74,20181010,6625,6700,6615,6675,5790756,KODEX_Inverse,114800
75,20181011,6810,6965,6780,6940,19057000,KODEX_Inverse,114800
76,20181012,6945,6965,6825,6880,9928552,KODEX_Inverse,114800
77,20181015,6895,6945,6880,6930,5962095,KODEX_Inverse,114800
78,20181016,6900,6950,6870,6950,5675213,KODEX_Inverse,114800
79,20181017,6845,6885,6810,6850,7675774,KODEX_Inverse,114800
80,20181018,6875,6930,6860,6915,5728138,KODEX_Inverse,114800
81,20181019,6970,7010,6885,6890,8210477,KODEX_Inverse,114800
82,20181022,6930,6960,6865,6875,4227000,KODEX_Inverse,114800
83,20181023,6925,7080,6925,7075,9154297,KODEX_Inverse,114800
84,20181024,7000,7110,6990,7100,11448937,KODEX_Inverse,114800
85,20181025,7240,7305,6995,7205,14329029,KODEX_Inverse,114800
86,20181026,7190,7390,7190,7325,14842660,KODEX_Inverse,114800
87,20181029,7300,7395,7250,7380,9895284,KODEX_Inverse,114800
88,20181030,7410,7425,7265,7325,10755114,KODEX_Inverse,114800
89,20181031,7315,7375,7290,7300,6735558,KODEX_Inverse,114800
90,20181101,7290,7335,7210,7335,7972678,KODEX_Inverse,114800
91,20181102,7250,7250,7050,7060,12459640,KODEX_Inverse,114800
92,20181105,7115,7210,7115,7115,15072012,KODEX_Inverse,114800
93,20181106,7080,7155,7065,7075,9546903,KODEX_Inverse,114800
94,20181107,7085,7135,7020,7115,9530639,KODEX_Inverse,114800
95,20181108,6995,7055,6960,7055,6890951,KODEX_Inverse,114800
96,20181109,7060,7105,7035,7095,7111598,KODEX_Inverse,114800
97,20181112,7150,7165,7070,7080,6913398,KODEX_Inverse,114800
98,20181113,7200,7260,7125,7135,9943116,KODEX_Inverse,114800
99,20181114,7135,7180,7125,7150,5163394,KODEX_Inverse,114800
