코스피,코스닥
A090460,A456490
A460850,A274400
A460860,A354320
A457190,A440320
A456040,A232830
A100090,A454640
A448730,A455250
A453340,A451700
A452260,A450050
A451800,A303360
A450140,A348080
A377740,A439090
A446070,A405920
A108320,A285800
A432320,A420770
A403550,A271830
A126720,A434480
A357430,A340810
A417310,A446840
A373220,A417790
A404990,A304360
A396690,A298830
A402340,A393210
A400760,A424980
A377300,A318160
A381970,A448830
A329180,A448760
A395400,A448370
A271940,A358570
A377190,A309960
A139990,A446150
A089860,A356680
A372910,A442900
A259960,A282720
A178920,A418420
A323410,A450410
A137310,A389020
A097520,A446750
A383800,A417010
A383220,A199730
A380440,A448740
A361610,A449020
A302440,A446190
A378850,A344860
A950210,A127980
A248070,A418550
A375500,A411080
A365550,A407400
A009900,A408900
A244920,A419050
A339770,A417860
A352820,A254490
A363280,A425040
A357120,A198940
A348950,A380540
A357250,A445970
A350520,A162300
A334890,A445360
A326030,A442770
A353200,A440820
A344820,A417180
A338100,A419530
A308170,A442310
A322000,A439410
A272210,A442130
A317400,A438220
A330590,A168360
A013890,A389470
A336260,A419080
A336370,A084440
A036420,A204610
A003670,A425420
A307950,A372170
A192650,A383930
A192080,A348340
A316140,A417500
A298690,A438580
A267850,A440200
A306200,A440790
A293480,A405100
A010400,A439730
A293940,A417840
A300720,A419120
A091810,A439250
A286940,A405000
A298040,A437780
A298050,A291810
A298020,A435620
A298000,A436610
A088260,A378800
A294870,A419540
A018250,A360070
A068270,A389500
A284740,A368970
A285130,A417970
A282330,A296640
A092780,A441270
A272450,A435870
A281820,A435380
A282690,A067370
A272550,A393890
A055490,A314140
A280360,A430230
A271980,A430460
A035720,A394280
A271560,A436530
A268280,A427950
A267290,A433530
A251270,A426550
A267250,A430220
A267270,A129920
A267260,A148930
A264900,A107600
A145720,A430700
A111110,A418210
A143210,A368600
A241560,A365340
A207940,A397030
A234080,A397030
A241590,A424760
A229640,A328130
A204210,A403870
A249420,A112290
A248170,A402030
A016740,A396270
A026960,A425290
A123890,A422040
A034830,A421800
A195870,A412350
A070960,A310210
A070960,A377460
A101530,A424140
A004440,A148780
A194370,A382900
A226320,A362320
A075580,A418170
A214330,A399720
A089590,A389260
A227840,A415580
A079550,A419270
A039570,A389140
A002690,A405640
A095570,A412930
A214320,A413600
A214420,A388050
A085620,A413630
A214390,A396300
A210980,A366030
A145210,A388720
A213500,A288980
A210540,A408920
A028260,A376930
A112610,A146320
A018260,A371950
A204320,A330730
A200880,A406760
A192400,A365900
A133820,A370090
A027410,A251120
A192820,A409570
A185750,A405350
A006880,A211050
A183190,A137080
A064350,A136410
A180640,A276040
A181710,A377330
A175330,A179530
A155660,A179530
A168490,A102370
A170900,A404950
A013870,A353590
A037560,A200350
A163560,A400560
A161890,A397880
A161390,A400840
A161000,A298870
A068400,A199800
A155900,A377480
A014710,A361570
A152550,A222160
A079980,A290090
A145270,A372800
A007070,A311320
A129260,A376300
A145990,A357880
A039130,A389030
A078520,A376180
A023000,A348370
A031430,A377450
A140910,A382800
A047810,A114840
A071840,A261780
A069640,A382480
A138490,A391710
A139480,A376290
A139130,A159010
A053210,A382840
A019440,A391060
A138040,A257720
A023350,A260970
A138930,A377220
A020150,A099430
A011210,A393360
A136490,A388800
A134380,A273640
A134790,A203400
A082740,A388790
A117580,A308080
A126560,A099390
A058860,A315640
A130660,A058970
A900140,A367000
A030790,A376980
A081660,A195940
A058850,A386580
A057050,A270660
A002150,A377030
A128820,A365270
A122900,A352910
A128940,A357580
A105840,A303530
A033920,A232680
A102460,A380320
A123690,A376190
A123700,A187660
A060980,A383310
A032830,A276730
A031440,A363250
A088350,A377630
A120030,A361670
A120110,A252990
A119650,A352480
A071320,A357230
A115390,A377400
A012160,A294570
A118000,A351330
A052690,A059270
A114090,A373340
A034730,A367480
A032560,A333620
A000080,A289220
A082640,A361390
A047400,A347700
A093240,A314930
A039490,A367360
A111770,A950220
A053690,A356890
A028100,A334970
A071970,A247660
A108670,A372290
A105630,A338220
A109070,A373200
A107590,A340930
A035420,A189330
A026940,A322310
A105560,A239890
A104700,A363260
A103590,A262840
A103140,A366330
A011070,A277810
A017180,A321820
A100220,A163730
A102260,A348030
A102280,A352700
A032640,A086710
A101140,A236810
A020560,A368770
A100840,A369370
A100250,A357550
A085310,A314130
A051600,A335810
A093230,A347860
A092440,A365590
A044450,A064850
A094280,A353060
A033270,A356860
A092200,A352940
A097950,A354200
A028670,A367340
A097230,A317690
A096760,A352770
A096770,A318020
A029780,A129890
A001780,A265740
A095720,A199820
A094800,A299030
A090370,A340570
A093370,A348150
A093050,A330860
A044380,A290690
A044820,A348350
A034590,A347000
A009770,A301300
A092220,A214610
A092230,A304840
A089470,A348210
A091090,A053080
A090350,A126340
A090430,A359090
A032350,A323990
A090080,A318410
A049800,A355150
A035510,A347770
A088790,A291650
A088980,A294090
A023530,A293490
A086280,A347740
A084870,A332370
A086790,A331920
A001560,A950190
A079430,A337930
A084010,A060850
A075180,A032300
A083420,A357780
A084690,A164060
A071950,A332570
A084680,A101360
A084670,A347890
A042700,A298540
A004890,A225220
A010960,A304100
A073240,A277880
A079160,A262260
A081000,A950200
A014830,A290520
A041650,A330350
A023810,A169330
A078930,A229000
A077500,A297890
A058730,A351320
A034220,A298060
A078000,A353190
A077970,A353810
A034310,A223250
A019680,A198080
A024110,A237820
A074610,A092190
A025750,A204270
A007660,A274090
A035250,A294140
A035250,A294630
A037270,A065370
A072710,A340440
A071050,A311690
A072130,A062970
A034120,A327260
A036570,A339950
A071090,A288330
A069730,A340360
A006890,A235980
A011500,A336570
A069960,A226330
A069460,A322510
A069620,A124560
A027740,A335870
A036530,A302550
A069260,A335890
A033530,A336060
A058430,A278650
A068290,A321550
A067830,A297090
A030610,A103840
A009240,A190650
A034300,A306040
A017370,A216080
A066570,A216080
A024720,A214260
A064960,A084850
A037710,A333430
A020760,A279600
A033180,A333050
A063160,A322180
A055550,A331520
A021240,A317530
A058650,A272110
A051900,A317870
A051910,A318010
A047040,A300120
A047050,A158430
A042670,A234690
A042660,A332290
A051630,A331380
A049770,A244460
A034020,A317120
A010040,A320000
A016450,A256150
A016710,A311390
A003220,A195500
A036460,A328380
A007120,A286750
A000850,A317830
A036580,A228670
A033780,A186230
A009540,A282880
A024090,A317330
A006840,A318000
A006650,A317770
A035150,A148150
A035000,A313760
A033250,A317850
A033240,A241840
A030200,A300080
A019490,A234340
A030000,A289010
A026890,A251970
A029460,A312610
A024890,A323280
A017940,A323230
A018670,A293780
A023590,A308100
A014440,A305090
A011790,A322780
A010600,A321260
A025890,A253840
A024900,A307930
A023960,A319660
A023800,A319400
A012320,A317240
A025530,A125210
A031820,A228760
A000660,A099750
A023150,A100790
A005320,A247540
A023450,A299660
A028050,A278280
A029530,A246960
A015360,A104620
A016800,A053580
A024070,A238200
A030720,A238200
A025560,A263050
A030210,A290550
A012630,A307180
A017900,A310200
A025540,A310870
A003160,A309930
A011930,A299900
A019180,A307750
A018880,A298380
A021820,A100590
A027970,A110020
A006740,A270870
A000910,A307870
A020120,A302430
A020000,A290120
A017800,A128540
A016580,A307280
A013580,A299910
A021050,A900340
A012750,A111710
A015890,A179290
A016590,A117730
A011690,A290660
A025860,A246710
A018500,A263690
A011300,A217330
A011200,A027360
A012610,A208340
A017810,A263020
A017390,A227100
A025820,A194700
A011090,A268600
A007460,A290670
A025620,A285490
A017960,A290650
A025000,A306620
A010580,A108490
A007980,A153710
A009440,A288620
A008420,A293580
A016880,A290720
A014790,A110790
A007310,A299170
A008500,A219750
A010120,A257370
A009190,A291230
A000760,A197140
A014820,A303030
A010140,A290740
A009680,A173130
A010690,A089970
A000390,A086820
A009450,A290380
A012030,A110990
A005090,A275630
