주식지표별(1),회사수 (개)
주식지표별(2),소계
2019.01,1323
2019.02,1325
2019.03,1331
2019.04,1332
2019.05,1338
2019.06,1344
2019.07,1353
2019.08,1364
2019.09,1368
2019.1,1377
2019.11,1390
2019.12,1405
2020.01,1404
2020.02,1407
2020.03,1413
2020.04,1412
2020.05,1409
2020.06,1413
2020.07,1422
2020.08,1429
2020.09,1439
2020.1,1445
2020.11,1451
2020.12,1468
2021.01,1473
2021.02,1483
2021.03,1493
2021.04,1496
2021.05,1505
2021.06,1506
2021.07,1505
2021.08,1507
2021.09,1512
2021.1,1519
2021.11,1528
2021.12,1532
2022.01,1535
2022.02,1545
2022.03,1552
2022.04,1554
2022.05,1552
2022.06,1561
2022.07,1571
2022.08,1577
2022.09,1582
2022.1,1595
2022.11,1606
2022.12,1611
2023.01,1614
2023.02,1621
2023.03,1629
2023.04,1632
2023.05,1636
2023.06,1647
