,Date,ADR
0,20180619,74.02
1,20180620,73.81
2,20180621,69.72
3,20180622,70.92
4,20180625,75.88
5,20180626,77.95
6,20180627,71.09
7,20180628,70.63
8,20180629,75.35
9,20180702,67.27
10,20180703,67.15
11,20180704,67.3
12,20180705,64.58
13,20180706,66.83
14,20180709,67.94
15,20180710,68.99
16,20180711,68.94
17,20180712,74.25
18,20180713,77.67
19,20180716,80.8
20,20180717,85.2
21,20180718,77.04
22,20180719,77.08
23,20180720,78.08
24,20180723,71.28
25,20180724,77.73
26,20180725,79.48
27,20180726,87.86
28,20180727,89.3
29,20180730,98.91
30,20180731,99.85
31,20180801,103.98
32,20180802,104.26
33,20180803,103.83
34,20180806,106.96
35,20180807,101.29
36,20180808,102.27
37,20180809,99.67
38,20180810,95.53
39,20180813,89.76
40,20180814,94.73
41,20180816,98.27
42,20180817,107.64
43,20180820,109.75
44,20180821,120.1
45,20180822,112.27
46,20180823,114.66
47,20180824,110.73
48,20180827,104.9
49,20180828,104.56
50,20180829,104.27
51,20180830,99.87
52,20180831,105.51
53,20180903,98.9
54,20180904,99.47
55,20180905,98.49
56,20180906,97.38
57,20180907,99.5
58,20180910,101.23
59,20180911,111.86
60,20180912,106.65
61,20180913,109.87
62,20180914,109.0
63,20180917,103.25
64,20180918,98.49
65,20180919,95.44
66,20180920,93.36
67,20180921,95.26
68,20180927,99.96
69,20180928,97.3
70,20181001,95.35
71,20181002,90.06
72,20181004,85.12
73,20181005,83.04
74,20181008,78.41
75,20181010,73.57
76,20181011,67.94
77,20181012,70.77
78,20181015,67.95
79,20181016,69.5
80,20181017,74.33
81,20181018,70.83
82,20181019,68.7
83,20181022,71.34
84,20181023,66.44
85,20181024,67.61
86,20181025,64.58
87,20181026,57.89
88,20181029,51.22
89,20181030,53.93
90,20181031,58.12
91,20181101,64.04
92,20181102,73.2
93,20181105,73.59
94,20181106,78.3
95,20181107,81.38
96,20181108,96.34
97,20181109,90.18
98,20181112,90.56
99,20181113,85.93
100,20181114,81.4
101,20181115,86.11
102,20181116,89.5
103,20181119,94.6
104,20181120,100.21
105,20181121,104.41
106,20181122,107.74
107,20181123,110.27
108,20181126,126.99
109,20181127,125.75
110,20181128,118.81
111,20181129,115.45
112,20181130,104.35
113,20181203,113.74
114,20181204,110.7
115,20181205,112.67
116,20181206,98.29
117,20181207,100.62
118,20181210,96.78
119,20181211,94.62
120,20181212,100.05
121,20181213,103.89
122,20181214,97.82
123,20181217,91.98
124,20181218,92.04
125,20181219,94.13
126,20181220,95.48
127,20181221,98.97
128,20181224,91.18
129,20181226,82.9
130,20181227,85.04
131,20181228,87.47
132,20190102,84.45
133,20190103,77.7
134,20190104,78.96
135,20190107,85.21
136,20190108,90.04
137,20190109,94.07
138,20190110,98.23
139,20190111,105.22
140,20190114,99.64
141,20190115,97.91
142,20190116,102.42
143,20190117,101.02
144,20190118,109.4
145,20190121,107.29
146,20190122,108.83
147,20190123,112.75
148,20190124,118.33
149,20190125,130.98
150,20190128,126.5
151,20190129,118.19
152,20190130,126.41
153,20190131,132.48
154,20190201,131.77
155,20190207,127.23
156,20190208,126.1
157,20190211,117.9
158,20190212,120.05
159,20190213,120.81
160,20190214,121.95
161,20190215,113.32
162,20190218,113.82
163,20190219,116.86
164,20190220,111.12
165,20190221,107.61
166,20190222,107.76
167,20190225,105.63
168,20190226,103.16
169,20190227,102.45
170,20190228,96.0
171,20190304,102.59
172,20190305,100.11
173,20190306,97.07
174,20190307,91.9
175,20190308,86.55
176,20190311,86.68
177,20190312,91.45
178,20190313,91.36
179,20190314,92.72
180,20190315,90.37
181,20190318,95.95
182,20190319,92.45
183,20190320,89.69
184,20190321,85.58
185,20190322,85.25
186,20190325,79.91
187,20190326,82.08
188,20190327,81.57
189,20190328,75.46
190,20190329,84.33
191,20190401,85.95
192,20190402,86.74
193,20190403,92.05
194,20190404,97.35
195,20190405,102.47
196,20190408,104.58
197,20190409,99.43
198,20190410,103.1
199,20190411,101.72
200,20190412,105.4
201,20190415,104.13
202,20190416,103.65
203,20190417,108.13
204,20190418,106.66
205,20190419,112.95
206,20190422,122.18
207,20190423,118.22
208,20190424,114.86
209,20190425,116.72
210,20190426,108.62
211,20190429,105.86
212,20190430,104.31
213,20190502,102.2
214,20190503,99.81
215,20190507,93.85
216,20190508,91.8
217,20190509,85.01
218,20190510,80.93
219,20190513,72.82
220,20190514,72.82
221,20190515,75.88
222,20190516,74.84
223,20190517,72.11
224,20190520,73.21
225,20190521,70.06
226,20190522,69.57
227,20190523,66.03
228,20190524,66.12
229,20190527,67.67
230,20190528,73.19
231,20190529,66.46
232,20190530,67.28
233,20190531,66.58
234,20190603,67.59
235,20190604,73.3
236,20190605,76.57
237,20190607,86.47
238,20190610,92.28
239,20190611,104.35
240,20190612,102.72
241,20190613,100.19
242,20190614,99.93
243,20190617,100.77
244,20190618,103.88
245,20190619,108.59
246,20190620,112.81
247,20190621,115.05
248,20190624,118.35
249,20190625,115.91
250,20190626,108.62
251,20190627,114.93
252,20190628,110.99
253,20190701,111.21
254,20190702,111.86
255,20190703,103.08
256,20190704,99.49
257,20190705,97.97
258,20190708,84.31
259,20190709,75.34
260,20190710,77.41
261,20190711,79.45
262,20190712,83.23
263,20190715,80.02
264,20190716,80.9
265,20190717,73.66
266,20190718,69.73
267,20190719,76.34
268,20190722,75.63
269,20190723,76.48
270,20190724,74.49
271,20190725,70.22
272,20190726,68.37
273,20190729,61.24
274,20190730,63.71
275,20190731,68.16
276,20190801,66.13
277,20190802,62.68
278,20190805,63.04
279,20190806,62.42
280,20190807,62.26
281,20190808,64.06
282,20190809,65.1
283,20190812,70.24
284,20190813,69.06
285,20190814,75.17
286,20190816,72.71
287,20190819,72.24
288,20190820,77.71
289,20190821,82.77
290,20190822,84.88
291,20190823,86.85
292,20190826,84.49
293,20190827,93.52
294,20190828,94.16
295,20190829,92.87
296,20190830,103.37
297,20190902,109.48
298,20190903,121.05
299,20190904,133.48
300,20190905,131.71
301,20190906,118.77
302,20190909,112.78
303,20190910,114.72
304,20190911,124.17
305,20190916,128.28
306,20190917,137.58
307,20190918,130.7
308,20190919,121.83
309,20190920,120.22
310,20190923,122.67
311,20190924,128.33
312,20190925,129.36
313,20190926,126.94
314,20190927,116.53
315,20190930,114.84
316,20191001,109.76
317,20191002,100.75
318,20191004,93.81
319,20191007,88.2
320,20191008,89.57
321,20191010,88.69
322,20191011,92.33
323,20191014,94.76
324,20191015,91.09
325,20191016,88.43
326,20191017,84.93
327,20191018,84.37
328,20191021,82.78
329,20191022,82.59
330,20191023,78.27
331,20191024,77.9
332,20191025,82.26
333,20191028,83.71
334,20191029,86.55
335,20191030,84.71
336,20191031,83.18
337,20191101,89.78
338,20191104,101.41
339,20191105,106.88
340,20191106,105.1
341,20191107,108.76
342,20191108,109.1
343,20191111,100.85
344,20191112,99.67
345,20191113,93.87
346,20191114,96.23
347,20191115,98.79
348,20191118,101.19
349,20191119,95.82
350,20191120,94.81
351,20191121,88.13
352,20191122,90.48
353,20191125,95.16
354,20191126,98.31
355,20191127,101.1
356,20191128,97.49
357,20191129,91.06
358,20191202,85.03
359,20191203,81.04
360,20191204,75.9
361,20191205,73.06
362,20191206,74.81
363,20191209,75.21
364,20191210,75.38
365,20191211,78.99
366,20191212,83.15
367,20191213,85.1
368,20191216,86.77
369,20191217,90.47
370,20191218,96.84
371,20191219,105.06
372,20191220,105.81
373,20191223,97.43
374,20191224,92.34
375,20191226,97.51
376,20191227,100.33
377,20191230,106.91
378,20200102,108.01
379,20200103,110.42
380,20200106,106.98
381,20200107,113.58
382,20200108,98.81
383,20200109,107.33
384,20200110,110.5
385,20200113,113.55
386,20200114,108.51
387,20200115,106.91
388,20200116,105.24
389,20200117,103.24
390,20200120,100.0
391,20200121,95.23
392,20200122,97.36
393,20200123,95.55
394,20200128,89.67
395,20200129,87.88
396,20200130,81.55
397,20200131,75.4
398,20200203,72.9
399,20200204,77.64
400,20200205,85.68
401,20200206,89.98
402,20200207,97.14
403,20200210,90.07
404,20200211,89.89
405,20200212,86.27
406,20200213,82.62
407,20200214,78.84
408,20200217,77.83
409,20200218,74.21
410,20200219,74.66
411,20200220,73.6
412,20200221,65.91
413,20200224,62.15
414,20200225,72.72
415,20200226,68.2
416,20200227,68.67
417,20200228,66.57
418,20200302,71.21
419,20200303,70.02
420,20200304,74.04
421,20200305,73.72
422,20200306,69.66
423,20200309,63.26
424,20200310,59.51
425,20200311,54.43
426,20200312,50.92
427,20200313,46.72
428,20200316,44.44
429,20200317,45.07
430,20200318,42.41
431,20200319,40.24
432,20200320,48.71
