,종목코드,final_return,순위,첫날종가,마지막날종가
0,A060310,0.006643953038982316,1493,3020.0,2985.0
1,A095570,0.02929680824219443,770,4255.0,4550.0
2,A006840,0.01428555374717874,1178,18830.0,19110.0
3,A054620,0.0015447776962535262,1817,11160.0,10040.0
4,A265520,0.002663755666721095,1739,21350.0,21400.0
5,A211270,0.06340023776838029,371,14500.0,13800.0
6,A027410,0.007580189747510491,1440,4105.0,3925.0
7,A282330,0.028544177525393483,786,190400.0,183900.0
8,A126600,0.5772588304362988,47,7370.0,6150.0
9,A138930,0.037687933296606295,649,6710.0,6890.0
10,A001460,0.0079042971250308,1423,419500.0,413000.0
11,A013720,3.5089378790360644,10,2360.0,2585.0
12,A001040,0.0023297934551882097,1763,88600.0,74200.0
13,A079160,0.019655813007833912,1004,15600.0,11440.0
14,A035760,0.0046918615108886485,1606,76000.0,68700.0
15,A311690,0.0796688118486253,291,26350.0,23650.0
16,A000120,0.03115251716352502,741,81500.0,77600.0
17,A011150,0.036667941307242304,665,3340.0,3680.0
18,A097950,0.026099350358921396,847,310000.0,276500.0
19,A051500,0.04992623655752961,495,28050.0,29000.0
20,A058820,0.0003338959141395246,1916,2325.0,2135.0
21,A023460,0.0022395117127798837,1769,2215.0,2100.0
22,A056730,0.004269397062506775,1634,1617.0,1462.0
23,A083660,0.0025956563755879804,1744,1733.0,1515.0
24,A000590,0.0018238026073536826,1801,61700.0,61500.0
25,A012030,5.489144266831144,6,1758.0,2290.0
26,A016610,0.027112155640256964,825,4180.0,4140.0
27,A005830,0.29700516701455965,87,74000.0,76400.0
28,A000990,0.02819217056976061,791,60400.0,63800.0
29,A139130,0.032554964685504756,723,7010.0,7180.0
30,A060900,0.20167160373055548,125,5020.0,6050.0
31,A025440,0.5424823701864575,50,2730.0,3030.0
32,A001530,0.7538212441729262,36,20900.0,22250.0
33,A000210,0.11345986745959745,212,45750.0,44550.0
34,A001880,0.013835763705442698,1196,13660.0,13750.0
35,A375500,0.0009216284800326987,1869,36300.0,36750.0
36,A068790,0.03549274719946004,679,6180.0,6480.0
37,A007340,0.03764213206900156,650,80300.0,83500.0
38,A004840,0.01692634895543601,1098,4970.0,5290.0
39,A241520,0.005722000155018768,1539,3975.0,3855.0
40,A065150,0.09122735789343729,255,377.0,331.0
41,A155660,0.23709279707564562,113,5000.0,5130.0
42,A069730,0.11162445409703087,216,4885.0,4905.0
43,A180400,0.005197455366368533,1572,8960.0,8240.0
44,A017940,0.02014097427231526,987,50600.0,51600.0
45,A245620,0.04611301732190832,540,1628.0,1463.0
46,A037370,0.04346742311304676,569,20550.0,18100.0
47,A050120,0.002398131233279911,1756,4635.0,4510.0
48,A383220,0.4497083885875735,60,129400.0,130700.0
49,A007700,0.0500257573011025,493,20350.0,20500.0
50,A214270,0.2358878696488454,114,3565.0,3345.0
51,A130500,0.0024986124126259927,1748,3530.0,3505.0
52,A114090,0.017691522345226907,1061,19530.0,17270.0
53,A078930,0.027415783757455233,811,38500.0,37800.0
54,A083450,0.0010949755284392626,1854,26750.0,28400.0
55,A006360,0.021592959732685275,955,20750.0,20800.0
56,A001250,0.017569830782622742,1069,2990.0,3140.0
57,A007070,0.34745275842186235,77,24850.0,23900.0
58,A297890,0.0015857464923573694,1812,16550.0,15800.0
59,A078150,0.015582396597702384,1141,2915.0,2535.0
60,A012630,0.03514183772264257,684,6820.0,6490.0
61,A039570,0.0008588754028598811,1877,8620.0,8260.0
62,A089470,0.006461635133360469,1501,4925.0,4780.0
63,A294870,0.030254498704020267,748,12540.0,11880.0
64,A009540,0.016221186952460363,1129,96200.0,120600.0
65,A267250,0.0509501072748483,481,57100.0,63500.0
66,A267270,0.007622599055842668,1437,59800.0,71500.0
67,A322000,0.18030967555537725,142,41150.0,40050.0
68,A042670,0.10521100337293474,227,9530.0,11700.0
69,A267260,0.0585812472292577,413,48900.0,58300.0
70,A097230,0.014559923563539027,1171,3695.0,4080.0
71,A014790,0.0067780509446756084,1485,2810.0,2760.0
72,A028300,0.007795695790069266,1429,37000.0,31650.0
73,A003580,0.018995870864550658,1018,5780.0,5060.0
74,A278650,0.038578874414794115,636,4375.0,3875.0
75,A067630,0.00045815536794044126,1906,11230.0,9990.0
76,A024850,1.0257412360635452,28,4735.0,5100.0
77,A047920,0.015330136245092323,1144,15460.0,13450.0
78,A115450,0.003990638891220674,1651,5700.0,4950.0
79,A204320,0.06511948166178416,363,48200.0,51700.0
80,A060980,0.03522814938484129,683,35550.0,36350.0
81,A011200,0.11210902168320991,215,17750.0,18660.0
82,A036640,0.012673959829538782,1232,5970.0,6110.0
83,A082740,0.033970702117677914,707,8740.0,10200.0
84,A003560,0.026337261691295757,843,239.0,239.0
85,A095340,0.008788316199828249,1389,51000.0,52000.0
86,A099520,8.638369427636357e-08,1979,1284.0,1284.0
87,A175330,0.06022619867725407,393,8500.0,8530.0
88,A234080,0.008772030042512285,1390,12350.0,12700.0
89,A067290,0.006153504308420702,1518,3160.0,2960.0
90,A001060,0.012086718446276977,1258,23150.0,22650.0
91,A096760,0.010333140128327034,1333,3340.0,3190.0
92,A035900,0.002965477674776989,1713,122000.0,134400.0
93,A318000,0.0023366723225008356,1762,13600.0,12100.0
94,A024840,0.07869062920165165,301,1915.0,1890.0
95,A105560,0.03390265003411938,710,48000.0,46900.0
96,A024120,0.07227318824504696,327,5700.0,5510.0
97,A002380,0.05299858434925061,456,208500.0,206000.0
98,A021320,0.00831435451327903,1404,5760.0,5690.0
99,A344820,0.041528266873715976,592,43100.0,44800.0
100,A036670,0.047936140993728935,514,8760.0,8590.0
101,A009070,0.049365880076513415,498,4135.0,4160.0
102,A009440,0.034564827785749264,696,4445.0,4320.0
103,A119650,0.09364018148334985,250,3240.0,2675.0
104,A092220,0.030872524675714365,742,2165.0,2050.0
105,A151860,0.02250922502810454,932,14260.0,13530.0
106,A046440,0.042366707780059625,584,5760.0,5780.0
107,A003620,0.002975262409130939,1712,9880.0,8260.0
108,A016380,0.002941625841571943,1716,8890.0,9210.0
109,A035600,0.07118915545952519,335,12160.0,11690.0
110,A001390,0.004993093491252106,1586,33650.0,46550.0
111,A033180,3.404737741656242e-07,1964,442.0,442.0
112,A060720,0.007223129187778275,1461,20800.0,21050.0
113,A001940,0.11816553837146469,195,18500.0,17860.0
114,A058400,0.007390328015524289,1449,928.0,1071.0
115,A114450,0.04181996902343552,588,4070.0,3785.0
116,A025000,0.052072021963201286,465,46600.0,46600.0
117,A092230,0.06615648556395627,357,51200.0,52100.0
118,A000040,0.005342362016010419,1568,670.0,600.0
119,A044450,0.059618251211276244,398,8040.0,8550.0
120,A030200,0.03025077870923513,749,31550.0,30750.0
121,A033780,0.05912056798906295,406,83600.0,82000.0
122,A058850,0.15586884505080578,157,3420.0,3580.0
123,A058860,0.04100027580837695,599,3220.0,3425.0
