,종목코드,final_return,순위,첫날종가,마지막날종가
0,A091580,226.7364431461753,1,19210.0,19880.0
1,A048550,87.36066597889314,2,2870.0,2645.0
2,A284620,78.47403973631741,3,4830.0,4430.0
3,A005800,75.56920211845564,4,10750.0,10500.0
4,A025770,60.713725533879646,5,10570.0,9460.0
5,A054780,42.93173552707574,6,7870.0,7980.0
6,A073570,37.92036712454092,7,20650.0,21200.0
7,A039420,30.668698990078582,8,2730.0,2790.0
8,A130500,28.57564180429255,9,3530.0,3505.0
9,A010820,25.614298291009153,10,4530.0,4665.0
10,A025820,20.61968832910897,11,4340.0,4515.0
11,A383220,20.1986122496689,12,129400.0,130700.0
12,A086980,19.445822375320212,13,3640.0,4225.0
13,A007310,16.92305584042417,14,444500.0,420000.0
14,A057880,13.093696914672059,15,1740.0,1740.0
15,A023150,12.991396616509242,16,7460.0,7440.0
16,A003620,12.832541746010799,17,9880.0,8260.0
17,A267290,12.389159008789846,18,21100.0,20800.0
18,A053350,10.876330867502856,19,3890.0,3895.0
19,A052260,10.58693678849584,20,11980.0,12310.0
20,A003200,10.23038276984127,21,11550.0,10570.0
21,A039830,10.182347959456786,22,7650.0,7490.0
22,A086520,9.860654509259488,23,563000.0,762000.0
23,A034020,8.705809357732623,24,16080.0,19270.0
24,A005710,8.611941292986842,25,6420.0,6200.0
25,A122640,8.336592115314573,26,10350.0,12790.0
26,A088390,8.064871759611549,27,35600.0,36500.0
27,A113810,7.850027466344609,28,1771.0,1542.0
28,A330350,7.772405413363143,29,7750.0,7240.0
29,A141000,7.3917072311734415,30,9560.0,8860.0
30,A047820,7.357790193241204,31,6920.0,5850.0
31,A104620,7.0041386285583815,32,7900.0,7840.0
32,A194700,6.996813634066109,33,8560.0,8020.0
33,A163730,6.956857648891988,34,11600.0,11540.0
34,A151860,6.726765998563821,35,14260.0,13530.0
35,A072770,6.618560149483356,36,2860.0,3310.0
36,A025320,6.576428363985459,37,3085.0,3185.0
37,A035080,6.551685803856855,38,19050.0,18870.0
38,A009300,6.510168722059301,39,17900.0,18000.0
39,A089140,6.250863172090357,40,9820.0,8600.0
40,A085910,6.24821036712444,41,4300.0,4265.0
41,A317870,6.1263298257665175,42,11900.0,14300.0
42,A070960,5.8988410258190935,43,3085.0,3050.0
43,A043610,5.767873439934404,44,3945.0,3930.0
44,A065150,5.627163935543999,45,377.0,331.0
45,A133750,5.403298717047873,46,2495.0,2805.0
46,A237820,5.2538994217104165,47,5240.0,5200.0
47,A288620,5.156569091818397,48,20200.0,19640.0
48,A222420,5.102485355862395,49,2065.0,2025.0
49,A037460,5.095017248283589,50,8980.0,8740.0
50,A182360,4.976728009879257,51,19800.0,26500.0
51,A003830,4.668993338860855,52,106900.0,103100.0
52,A249420,4.6131208954749034,53,19450.0,16730.0
53,A009810,4.585356864860168,54,790.0,840.0
54,A024890,4.49250898746927,55,2930.0,2685.0
55,A046440,4.391052896484153,56,5760.0,5780.0
56,A035290,4.36100197471242,57,6340.0,1620.0
57,A321260,4.255717972663784,58,3030.0,2905.0
58,A097780,4.217305544230861,59,1193.0,1189.0
59,A032940,4.210099138817799,60,3880.0,3825.0
60,A263020,4.0077559858464955,61,3580.0,3415.0
61,A131370,3.9683794209561363,62,3970.0,3910.0
62,A205500,3.92891195485763,63,2540.0,2030.0
63,A060230,3.843485643429304,64,5230.0,4495.0
64,A193250,3.8124777636919904,65,1135.0,1100.0
65,A053050,3.805206037940087,66,3995.0,3795.0
66,A031430,3.796783643988627,67,18050.0,17620.0
67,A054620,3.6720370457535827,68,11160.0,10040.0
68,A130580,3.554471329686449,69,6690.0,6680.0
69,A217330,3.4971709226218253,70,16980.0,17000.0
70,A054050,3.4875814786091186,71,8710.0,8760.0
71,A003280,3.4785150163333713,72,1352.0,2115.0
72,A294140,3.4114746287661832,73,6540.0,7070.0
73,A204270,3.3942045572972375,74,8190.0,7390.0
74,A317830,3.3498410346342187,75,14600.0,15510.0
75,A001810,3.3060176323597292,76,2315.0,2275.0
76,A303030,3.2903357032157503,77,1785.0,1754.0
77,A029480,3.264274298496296,78,3740.0,3265.0
78,A054670,3.260710291794514,79,9190.0,9280.0
79,A183490,3.1822654893708773,80,1692.0,1585.0
80,A050120,3.159264112697388,81,4635.0,4510.0
81,A214270,3.1580120199062027,82,3565.0,3345.0
82,A123010,3.131172133854041,83,2410.0,2235.0
83,A317530,3.116060631257879,84,7750.0,8520.0
84,A004980,3.079318795183119,85,9490.0,9270.0
85,A168330,3.0727899780544004,86,2790.0,2555.0
86,A065530,3.0705808222856827,87,2135.0,2055.0
87,A058850,3.041856394867978,88,3420.0,3580.0
88,A007120,3.035302404854171,89,1753.0,1725.0
89,A139670,3.009658318743636,90,6560.0,7110.0
90,A090150,2.9602489209712344,91,1600.0,1709.0
91,A229000,2.9231333544599027,92,3440.0,3000.0
92,A004590,2.875736260399532,93,4360.0,4490.0
93,A027740,2.873579463514595,94,1405.0,1497.0
94,A309930,2.865146309902232,95,4310.0,4900.0
95,A005110,2.856422720947086,96,719.0,677.0
96,A264850,2.8515792562704796,97,2630.0,2905.0
97,A203650,2.8087011370819703,98,3170.0,3280.0
98,A214370,2.793589639086481,99,184400.0,226000.0
99,A369370,2.6206764980532635,100,1900.0,1594.0
100,A002700,2.6045780383070776,101,2010.0,1934.0
101,A226950,2.5896602092229237,102,19230.0,17720.0
102,A228340,2.5800300895418706,103,3145.0,3320.0
103,A000670,2.5694268279836425,104,526000.0,546000.0
104,A096690,2.5573778707328225,105,505.0,458.0
105,A010580,2.491622086462246,106,2525.0,2395.0
106,A212560,2.4648639886008974,107,9150.0,9360.0
107,A032960,2.44528307434296,108,14250.0,13810.0
108,A012320,2.3997499235279665,109,101000.0,91500.0
109,A192400,2.3935565129490493,110,15240.0,14830.0
110,A039010,2.345165978500942,111,7650.0,7400.0
111,A317770,2.318968228069981,112,70000.0,81100.0
112,A037370,2.305313280214069,113,20550.0,18100.0
113,A019770,2.2791495126538157,114,4485.0,4620.0
114,A026150,2.2529203475536512,115,8080.0,8980.0
115,A020760,2.236078303465976,116,1458.0,1350.0
116,A017940,2.235465087594262,117,50600.0,51600.0
117,A019590,2.2300180005370835,118,843.0,1007.0
118,A318000,2.160603564366535,119,13600.0,12100.0
119,A003610,2.1315387796332446,120,7400.0,5110.0
120,A119860,2.0891521516371956,121,13350.0,12690.0
121,A000720,2.0749714445101124,122,38300.0,39400.0
122,A218150,2.072424548259794,123,7100.0,7980.0
123,A198440,2.063277108458015,124,2630.0,2475.0
124,A025440,2.0551642986601353,125,2730.0,3030.0
125,A032800,2.0131472229846636,126,578.0,598.0
126,A022100,2.0018046907337306,127,11470.0,15140.0
127,A004100,1.9725230591233258,128,1920.0,1800.0
128,A042660,1.878065837194784,129,28350.0,39300.0
129,A145210,1.8487582844983572,130,7300.0,6810.0
130,A177830,1.8208175120468286,131,4505.0,4500.0
131,A149980,1.7983032479647125,132,6550.0,8680.0
132,A001780,1.7530394205970337,133,3355.0,3610.0
133,A217270,1.7318364913875892,134,8780.0,8890.0
134,A007700,1.7273862608822288,135,20350.0,20500.0
135,A256150,1.694021211994245,136,7650.0,8960.0
136,A307870,1.687590921562479,137,2140.0,2220.0
