,Date,Open,High,Low,Close,Volume,name,code,kos
0,20180618,6210,6400,5910,5920,73797,AJ네트웍스,095570,kospi
1,20180619,6770,6770,5910,5970,299071,AJ네트웍스,095570,kospi
2,20180620,6070,6070,5940,5990,37450,AJ네트웍스,095570,kospi
3,20180621,6050,6200,6000,6150,42853,AJ네트웍스,095570,kospi
4,20180622,6150,6150,6020,6080,38799,AJ네트웍스,095570,kospi
5,20180625,6130,6450,6100,6130,64253,AJ네트웍스,095570,kospi
6,20180626,6060,6330,6060,6150,23490,AJ네트웍스,095570,kospi
7,20180627,6160,6270,6140,6180,28325,AJ네트웍스,095570,kospi
8,20180628,6300,6300,6010,6040,40376,AJ네트웍스,095570,kospi
9,20180629,6040,6110,5940,6110,17616,AJ네트웍스,095570,kospi
10,20180702,6060,6120,5780,5970,71356,AJ네트웍스,095570,kospi
11,20180703,5970,5970,5810,5870,18342,AJ네트웍스,095570,kospi
12,20180704,5870,5870,5740,5790,38422,AJ네트웍스,095570,kospi
13,20180705,5740,5860,5370,5840,108080,AJ네트웍스,095570,kospi
14,20180706,5790,5910,5650,5830,37405,AJ네트웍스,095570,kospi
15,20180709,5830,5830,5690,5800,22788,AJ네트웍스,095570,kospi
16,20180710,5800,5860,5710,5800,21619,AJ네트웍스,095570,kospi
17,20180711,5770,5840,5730,5820,62325,AJ네트웍스,095570,kospi
18,20180712,5860,5860,5660,5700,164538,AJ네트웍스,095570,kospi
19,20180713,5670,5700,5590,5650,52393,AJ네트웍스,095570,kospi
20,20180716,5620,5640,5520,5540,191334,AJ네트웍스,095570,kospi
21,20180717,5580,5610,5470,5540,69599,AJ네트웍스,095570,kospi
22,20180718,5500,5520,5370,5410,106341,AJ네트웍스,095570,kospi
23,20180719,5410,5500,5330,5370,42300,AJ네트웍스,095570,kospi
24,20180720,5370,5430,5170,5330,61041,AJ네트웍스,095570,kospi
25,20180723,5310,5310,5120,5150,46653,AJ네트웍스,095570,kospi
26,20180724,5170,5210,4990,5170,40039,AJ네트웍스,095570,kospi
27,20180725,5120,5130,5010,5050,33502,AJ네트웍스,095570,kospi
28,20180726,5060,5280,4995,5230,43195,AJ네트웍스,095570,kospi
29,20180727,5280,5330,5240,5270,12752,AJ네트웍스,095570,kospi
30,20180730,5270,5390,5250,5270,29510,AJ네트웍스,095570,kospi
31,20180731,5440,5440,5250,5260,34203,AJ네트웍스,095570,kospi
32,20180801,5360,5440,5270,5430,30278,AJ네트웍스,095570,kospi
33,20180802,5440,5520,5240,5390,43528,AJ네트웍스,095570,kospi
34,20180803,5390,5390,5270,5350,19835,AJ네트웍스,095570,kospi
35,20180806,5350,5420,5280,5380,22416,AJ네트웍스,095570,kospi
