,Date,Open,High,Low,Close,Volume,name,code
0,20180618,3385,3395,3080,3170,545916,SCI평가정보,036120
1,20180619,3275,3290,3035,3115,303078,SCI평가정보,036120
2,20180620,3050,3475,3050,3110,2173429,SCI평가정보,036120
3,20180621,3120,3145,3040,3075,289419,SCI평가정보,036120
4,20180622,3045,3680,3030,3225,4407489,SCI평가정보,036120
5,20180625,3155,3185,3060,3100,459812,SCI평가정보,036120
6,20180626,3080,3095,3000,3030,282891,SCI평가정보,036120
7,20180627,3015,3070,2985,2985,326110,SCI평가정보,036120
8,20180628,2930,3015,2860,2870,223675,SCI평가정보,036120
9,20180629,2840,2925,2810,2865,152975,SCI평가정보,036120
10,20180702,3095,3290,2900,2920,1548180,SCI평가정보,036120
11,20180703,2975,3130,2830,3010,1189434,SCI평가정보,036120
12,20180704,3055,3110,2930,3025,734132,SCI평가정보,036120
13,20180705,3050,3080,2950,2985,327136,SCI평가정보,036120
14,20180706,3025,3025,2895,2975,287854,SCI평가정보,036120
15,20180709,2985,3180,2985,3030,910445,SCI평가정보,036120
16,20180710,3060,3150,3010,3105,396054,SCI평가정보,036120
17,20180711,3030,3265,3000,3025,965894,SCI평가정보,036120
18,20180712,3025,3050,2980,2985,194996,SCI평가정보,036120
19,20180713,2985,3045,2950,3015,175576,SCI평가정보,036120
20,20180716,3020,3070,2970,2995,140718,SCI평가정보,036120
21,20180717,3075,3735,3025,3660,13167552,SCI평가정보,036120
22,20180718,3625,3970,3380,3500,7721596,SCI평가정보,036120
23,20180719,3580,3585,3300,3370,1285440,SCI평가정보,036120
24,20180720,3375,3535,3200,3240,1651161,SCI평가정보,036120
25,20180723,3205,3375,3120,3130,1024366,SCI평가정보,036120
26,20180724,3205,3280,2980,3100,1162782,SCI평가정보,036120
27,20180725,3275,4030,3270,3500,17245424,SCI평가정보,036120
28,20180726,3415,3515,3330,3515,3460620,SCI평가정보,036120
29,20180727,3385,3445,3330,3340,1613149,SCI평가정보,036120
30,20180730,3335,3815,3325,3510,9161631,SCI평가정보,036120
31,20180731,3540,3565,3445,3550,1535386,SCI평가정보,036120
32,20180801,3420,3440,3340,3385,1574210,SCI평가정보,036120
33,20180802,3420,3490,3350,3420,1003943,SCI평가정보,036120
34,20180803,3430,3445,3350,3395,530297,SCI평가정보,036120
35,20180806,3450,3550,3390,3400,1207081,SCI평가정보,036120
36,20180807,3365,3390,3325,3365,456084,SCI평가정보,036120
37,20180808,3335,3420,3315,3315,462601,SCI평가정보,036120
38,20180809,3260,3290,3195,3240,485303,SCI평가정보,036120
39,20180810,3260,3285,3170,3190,323460,SCI평가정보,036120
40,20180813,3180,3180,3030,3060,421543,SCI평가정보,036120
41,20180814,3075,3130,3025,3065,229188,SCI평가정보,036120
42,20180816,3080,3140,3010,3065,310358,SCI평가정보,036120
43,20180817,3070,3175,3065,3140,266725,SCI평가정보,036120
44,20180820,3180,3180,3105,3105,202390,SCI평가정보,036120
45,20180821,3090,3250,3080,3185,253148,SCI평가정보,036120
46,20180822,3200,3510,3180,3310,4353138,SCI평가정보,036120
47,20180823,3245,3295,3200,3200,512157,SCI평가정보,036120
48,20180824,3200,3290,3200,3230,366271,SCI평가정보,036120
49,20180827,3225,3260,3200,3210,253082,SCI평가정보,036120
50,20180828,3270,3435,3240,3335,1365492,SCI평가정보,036120
51,20180829,3435,3480,3320,3320,1065120,SCI평가정보,036120
52,20180830,3355,3365,3300,3325,359308,SCI평가정보,036120
53,20180831,3310,3350,3280,3305,313221,SCI평가정보,036120
