,Date,Open,High,Low,Close,Volume,name
0,20230213,2265,2270,2180,2215,300234,3S
1,20230214,2205,2400,2205,2270,741404,3S
2,20230215,2270,2350,2230,2230,809998,3S
3,20230216,2235,2300,2230,2235,341830,3S
4,20230217,2210,2300,2210,2265,204470,3S
5,20230220,2265,2275,2220,2265,133734,3S
6,20230221,2245,2640,2230,2340,10300272,3S
7,20230222,2325,2385,2315,2350,756580,3S
8,20230223,2360,2365,2300,2315,337023,3S
9,20230224,2315,2330,2240,2240,382882,3S
10,20230227,2240,2240,2180,2200,196116,3S
11,20230228,2200,2255,2190,2210,237609,3S
12,20230302,2210,2245,2200,2215,244757,3S
13,20230303,2220,2265,2215,2255,150934,3S
14,20230306,2275,2330,2260,2330,282152,3S
15,20230307,2325,2335,2285,2320,214838,3S
16,20230308,2295,2310,2190,2215,348026,3S
17,20230309,2220,2230,2170,2170,246531,3S
18,20230310,2160,2165,2075,2090,377665,3S
19,20230313,2060,2105,2040,2090,216588,3S
20,20230314,2080,2090,1985,1985,374773,3S
21,20230315,2015,2070,1996,1996,315061,3S
22,20230316,1963,2020,1949,1993,238768,3S
23,20230317,2035,2090,2020,2075,195223,3S
24,20230320,2060,2130,2055,2090,129156,3S
25,20230321,2090,2130,2075,2095,103400,3S
26,20230322,2115,2115,2060,2090,172394,3S
27,20230323,2085,2120,2055,2070,213237,3S
28,20230324,2050,2210,2050,2200,498469,3S
29,20230327,2205,2220,2145,2210,302385,3S
30,20230328,2210,2245,2195,2215,291969,3S
31,20230329,2190,2290,2190,2260,450254,3S
32,20230330,2285,2315,2275,2290,318642,3S
33,20230331,2295,2310,2250,2285,192922,3S
34,20230403,2290,2460,2270,2305,1743967,3S
35,20230404,2305,2375,2305,2355,299585,3S
36,20230405,2350,2385,2305,2345,198967,3S
37,20230406,2360,2360,2265,2290,196942,3S
38,20230407,2305,2410,2295,2400,634311,3S
39,20230410,2395,2465,2300,2325,314665,3S
40,20230411,2315,2355,2290,2335,288204,3S
41,20230412,2345,2375,2330,2355,236234,3S
42,20230413,2340,2355,2280,2320,152801,3S
43,20230414,2320,2345,2300,2300,161727,3S
44,20230417,2330,2330,2290,2305,84533,3S
45,20230418,2310,2310,2240,2305,199666,3S
46,20230419,2290,2360,2270,2325,167706,3S
47,20230420,2325,2345,2230,2285,217782,3S
48,20230421,2245,2275,2240,2240,126043,3S
49,20230424,2245,2270,2230,2240,128222,3S
50,20230425,2210,2260,2160,2220,234957,3S
51,20230426,2205,2225,2145,2170,134350,3S
52,20230427,2160,2170,2100,2125,140528,3S
53,20230428,2125,2145,2090,2090,134242,3S
54,20230502,2100,2200,2100,2195,144571,3S
55,20230503,2195,2220,2175,2200,67412,3S
56,20230504,2200,2200,2145,2180,68457,3S
57,20230508,2185,2220,2185,2210,64950,3S
58,20230509,2205,2245,2200,2245,148153,3S
59,20230510,2245,2255,2215,2245,79188,3S
60,20230511,2255,2305,2235,2265,134849,3S
61,20230512,2265,2295,2245,2280,74545,3S
62,20230515,2270,2280,2225,2240,69534,3S
63,20230516,2240,2250,2185,2215,116835,3S
64,20230517,2215,2260,2200,2235,97747,3S
65,20230518,2245,2290,2240,2275,133586,3S
66,20230519,2300,2310,2275,2290,242755,3S
67,20230522,2295,2335,2250,2315,156378,3S
68,20230523,2300,2315,2260,2285,117084,3S
69,20230524,2280,2300,2255,2280,67101,3S
70,20230525,2260,2285,2235,2245,91789,3S
71,20230526,2245,2915,2230,2910,13590249,3S
72,20230530,2805,3460,2570,3015,76952993,3S
73,20230531,2995,3445,2935,3020,40162146,3S
74,20230601,3000,3070,2850,2900,5019544,3S
75,20230602,2905,2950,2825,2875,2358195,3S
76,20230605,2850,3220,2785,2935,18938294,3S
77,20230607,2890,3060,2855,2890,4640916,3S
78,20230608,2900,3030,2815,2960,3888738,3S
79,20230609,2970,3115,2925,2965,7593271,3S
80,20230612,2990,3100,2970,3075,5633368,3S
81,20230613,3040,3165,3025,3040,4665354,3S
82,20230614,3075,3410,2950,3000,23811930,3S
83,20230615,3055,3150,2970,3025,3540015,3S
84,20230616,3035,3060,2960,2960,1493930,3S
85,20230619,2990,3125,2970,3070,3473647,3S
86,20230620,3055,3140,2990,3005,2309234,3S
87,20230621,3000,3035,2900,2985,1083460,3S
88,20230622,2945,3050,2940,2940,1095307,3S
89,20230623,2940,2970,2865,2880,870486,3S
90,20230626,2880,2915,2790,2895,591670,3S
91,20230627,2895,2905,2820,2820,575908,3S
92,20230628,2830,2865,2715,2790,629012,3S
93,20230629,2775,2835,2745,2760,460421,3S
94,20230630,2760,2790,2680,2755,589025,3S
95,20230703,2730,2865,2725,2825,614563,3S
96,20230704,2830,3030,2795,2865,2701869,3S
97,20230705,2870,2935,2810,2820,756239,3S
98,20230706,2820,2840,2750,2755,477663,3S
99,20230707,2700,2795,2700,2745,268958,3S
100,20230213,5770,5780,5300,5310,2347918,AJ네트웍스
101,20230214,5470,5560,5380,5420,753374,AJ네트웍스
102,20230215,5420,5470,5260,5280,386413,AJ네트웍스
103,20230216,5340,5430,5280,5360,353914,AJ네트웍스
104,20230217,5340,5440,5270,5440,288801,AJ네트웍스
105,20230220,5460,5650,5370,5550,387156,AJ네트웍스
106,20230221,5550,5590,5500,5530,115091,AJ네트웍스
107,20230222,5500,5560,5370,5460,297518,AJ네트웍스
108,20230223,5460,5490,5390,5460,221103,AJ네트웍스
109,20230224,5480,5480,5300,5370,445230,AJ네트웍스
110,20230227,5320,5400,5280,5300,292852,AJ네트웍스
111,20230228,5300,5380,5290,5330,212005,AJ네트웍스
112,20230302,5340,5360,5150,5200,458634,AJ네트웍스
113,20230303,5170,5300,5150,5270,178412,AJ네트웍스
114,20230306,5280,5400,5280,5330,242610,AJ네트웍스
115,20230307,5360,5420,5060,5350,486992,AJ네트웍스
116,20230308,5340,5410,5290,5400,155886,AJ네트웍스
117,20230309,5360,5460,5350,5380,240330,AJ네트웍스
118,20230310,5380,5430,5270,5300,250462,AJ네트웍스
119,20230313,5260,5260,5080,5190,223786,AJ네트웍스
120,20230314,5190,5190,4970,5010,288341,AJ네트웍스
121,20230315,5060,5060,4900,4970,340586,AJ네트웍스
122,20230316,4965,4965,4820,4890,217872,AJ네트웍스
123,20230317,4900,5040,4895,5040,123570,AJ네트웍스
124,20230320,4950,5080,4905,4930,158130,AJ네트웍스
125,20230321,4930,4970,4870,4900,117278,AJ네트웍스
126,20230322,4900,4940,4755,4820,265665,AJ네트웍스
127,20230323,4750,4795,4710,4760,184021,AJ네트웍스
128,20230324,4780,4800,4625,4680,231474,AJ네트웍스
129,20230327,4680,4690,4515,4545,319120,AJ네트웍스
130,20230328,4550,4625,4530,4620,210778,AJ네트웍스
